TEMP_attr_Number_of_Records_qk__BEGFFHGFJB__A_,TEMP_attr_Number_of_Records_qk__CEDFHGBFEJ__A_,none_Market_nk,none_Product_Type_nk,sum_Sales_ok
1,1,Central,Coffee,69079.66592155912
1,1,Central,Espresso,59702.68131643756
1,1,Central,Herbal Tea,67885.05991288429
1,1,Central,Tea,68380.41345358395
1,1,East,Coffee,56639.69140196043
1,1,East,Espresso,48404.888025738546
1,1,East,Herbal Tea,41361.69435156019
1,1,East,Tea,32171.92490581218
1,1,South,Coffee,33255.92915268832
1,1,South,Espresso,44989.43904815167
1,1,South,Herbal Tea,25682.992109471263
1,1,West,Coffee,57856.39309876456
1,1,West,Espresso,69911.3318223951
1,1,West,Herbal Tea,72285.35993843863
1,1,West,Tea,72219.63576834396
