none_Market_nk,none_Product_Type_nk,sum_Sales_ok
Central,Coffee,69079.66592155912
Central,Espresso,59702.68131643756
Central,Herbal Tea,67885.05991288429
Central,Tea,68380.41345358395
East,Coffee,56639.69140196043
East,Espresso,48404.888025738546
East,Herbal Tea,41361.69435156019
East,Tea,32171.92490581218
South,Coffee,33255.92915268832
South,Espresso,44989.43904815167
South,Herbal Tea,25682.992109471263
West,Coffee,57856.39309876456
West,Espresso,69911.3318223951
West,Herbal Tea,72285.35993843863
West,Tea,72219.63576834396
