none_Product_Name_nk,sum_Gross_Profit_ok,sum_Sales_Total_ok
"Eldon File Chest??? Portable File",1696.39,11981.109999999999
"Eldon® 200 Class??? Desk Accessories",-1154.26,3686.8199999999993
"Eldon® 200 Class??? Desk Accessories, Black",-1592.1900000000003,3644.5799999999995
"Eldon® 200 Class??? Desk Accessories, Burgundy",-965.6499999999999,4020.3500000000004
"Eldon® 200 Class??? Desk Accessories, Smoke",-843.3000000000002,4021.979999999999
"Eldon® 300 Class??? Desk Accessories, Black",-2075.4600000000005,4664.060000000001
"Eldon® 400 Class??? Desk Accessories, Black Carbon",-2742.5199999999995,7124.15
"Eldon® 500 Class??? Desk Accessories",-322.5199999999999,8847.640000000001
Global Commerce??? Series High-Back Swivel/Tilt Chairs,30393.589999999993,188908.15
Global Commerce??? Series Low-Back Swivel/Tilt Chairs,49985.35,211249.39999999997
Hon 4700 Series Mobuis??? Mid-Back Task Chairs with Adjustable Arms,51272.00000000001,276368.56
Polycom ViewStation??? Adapter H323 Videoconferencing Unit,224902.26999999996,375740.25999999983
Polycom ViewStation??? ISDN Videoconferencing Unit,692479.7,1149027.07
