none_Product_Type_nk,none_Product_nk,sum_Sales_ok
Coffee,Amaretto,26269.16624265797
Coffee,Columbian,128319.25713510932
Coffee,Decaf Irish Cream,62243.256197205104
Espresso,Caffe Latte,35899.836172422576
Espresso,Caffe Mocha,84903.90229152475
Espresso,Decaf Espresso,78168.11539773276
Espresso,Regular Espresso,24036.486351042855
Herbal Tea,Chamomile,75582.05003924898
Herbal Tea,Lemon,95924.74481762611
Herbal Tea,Mint,35708.31145547934
Tea,Darjeeling,73153.98768397846
Tea,Earl Grey,66773.3761030373
Tea,Green Tea,32844.61034072426
