none_Market_nk,none_State_nk,sum_Sales_ok
Central,Colorado,48183.92440159309
Central,Illinois,69881.96252920326
Central,Iowa,54743.70900438084
Central,Missouri,24645.155901140002
Central,Ohio,34522.42218605426
Central,Wisconsin,33070.64658209342
East,Connecticut,25428.156366432275
East,Florida,37440.88513669163
East,Massachusetts,29968.34341667778
East,New Hampshire,14885.091627189488
East,New York,70855.72213808016
South,Louisiana,23162.92701779556
South,New Mexico,15893.139969627098
South,Oklahoma,27462.182903680885
South,Texas,37410.11041920771
West,California,96891.11953735811
West,Nevada,60155.62169108446
West,Oregon,40906.89102419887
West,Utah,35384.681639473354
West,Washington,38934.40673582738
