none_COGS_ok,none_Margin_ok
0,43
10,13
10,14
14,18
15,20
15,24
16,25
17,26
18,26
18,27
19,28
19,29
20,25
20,29
20,30
20,31
21,28
21,31
21,32
22,29
22,30
22,33
22,34
23,31
23,34
23,35
24,30
24,32
24,36
25,31
25,36
25,37
25,38
27,39
28,33
28,34
28,35
28,41
28,42
29,35
29,36
29,42
29,43
29,44
30,38
30,39
30,44
30,45
31,37
31,38
31,46
31,47
32,38
32,47
32,48
33,39
33,41
33,42
33,43
33,48
33,49
34,41
34,42
34,43
34,49
34,51
35,43
35,44
35,47
35,51
35,52
36,45
36,46
36,49
36,52
36,53
36,54
37,51
37,52
37,53
37,55
37,68
38,48
38,51
38,55
38,56
39,49
39,51
39,52
39,53
39,55
39,56
39,57
39,58
39,65
39,72
40,49
40,51
40,52
40,59
41,49
41,50
41,53
41,55
41,57
41,60
41,66
42,56
42,61
43,55
43,56
43,57
43,61
43,62
43,63
43,64
43,66
44,56
44,59
44,61
44,62
44,63
44,64
44,65
44,67
45,57
45,58
45,60
45,64
45,65
45,67
45,69
46,57
46,60
46,62
46,67
46,68
47,52
47,63
47,64
47,65
47,66
47,67
47,68
47,72
47,78
47,79
48,62
48,63
48,65
48,68
48,70
48,71
48,72
48,74
48,82
49,60
49,63
49,65
49,69
49,70
49,71
49,72
49,84
50,59
50,60
50,65
50,68
50,73
50,75
51,62
51,64
51,65
51,68
51,71
51,74
51,75
52,46
52,65
52,67
52,68
52,71
52,73
52,74
52,75
52,76
52,77
52,79
52,80
52,612
52,613
53,61
53,63
53,64
53,65
53,71
53,72
53,75
53,77
53,88
54,64
54,66
54,67
54,73
54,74
54,75
54,78
54,79
54,80
54,81
54,595
55,69
55,74
55,75
55,76
55,84
56,66
56,70
56,81
56,82
57,68
57,70
57,77
57,80
57,83
57,94
58,71
58,72
58,74
58,84
59,73
59,74
59,79
59,82
59,85
60,72
60,80
60,84
60,90
60,99
60,516
61,79
61,86
61,89
61,90
62,73
62,74
62,87
62,94
62,105
63,63
63,75
63,76
63,77
63,87
63,88
63,91
63,93
64,76
64,90
64,96
64,487
65,77
65,80
65,90
65,109
67,82
67,83
67,93
67,101
67,113
67,443
68,80
68,85
68,87
68,99
68,102
68,451
69,81
69,82
69,90
69,100
70,84
71,84
71,104
72,88
72,104
72,108
72,110
72,402
72,420
72,422
74,89
75,89
75,90
75,105
75,114
75,379
75,395
76,91
76,93
76,111
77,96
77,99
77,103
77,112
78,92
78,100
78,119
79,98
79,111
79,114
80,94
80,96
80,98
80,108
80,120
81,96
81,104
81,117
81,118
82,40
82,102
82,123
83,99
83,107
83,112
84,18
84,109
84,116
84,126
85,104
85,105
85,114
86,23
86,103
86,107
86,116
86,120
86,124
86,125
87,112
87,117
87,126
88,11
88,18
88,112
88,133
88,134
89,125
89,130
90,115
90,135
91,121
91,127
91,132
92,68
92,128
92,129
92,140
93,40
93,130
94,120
94,130
94,136
94,141
95,50
95,132
95,137
95,139
96,134
97,130
98,38
99,132
99,144
99,150
100,145
101,130
102,143
103,123
103,133
103,155
104,11
104,28
104,150
104,152
105,-44
105,145
108,157
109,16
109,158
110,154
110,165
111,167
112,155
113,3
113,163
113,165
114,159
114,172
115,174
116,25
116,161
116,176
118,164
118,172
120,19
120,49
121,-60
121,-53
121,-52
121,168
121,169
122,-13
122,176
123,-13
123,178
123,179
123,186
124,173
124,186
125,-62
125,-59
125,-56
125,173
125,188
127,-25
127,-21
127,185
130,195
132,191
133,184
134,186
135,-69
135,187
141,-45
141,195
141,204
144,-72
144,-26
144,201
145,146
148,-26
148,206
149,149
153,153
154,-67
154,-27
154,-24
154,213
154,222
155,155
161,161
162,-85
162,-24
162,163
162,225
170,170
170,171
173,-95
173,-27
173,239
181,182
191,-32
191,265
195,-32
195,270
196,-30
196,271
200,-31
200,278
207,-27
207,245
209,-20
209,247
211,212
211,464
213,-33
213,252
214,-32
214,253
224,-32
224,310
225,-65
225,265
228,228
228,229
228,262
228,304
228,352
234,311
234,312
235,-37
235,277
238,-36
238,329
239,-75
239,239
239,281
239,284
239,325
239,526
240,-240
240,255
240,294
241,-93
241,284
243,324
244,-46
244,288
245,-245
245,238
245,268
245,300
245,301
245,331
247,329
249,249
249,318
249,374
250,251
250,407
251,-139
251,295
252,335
253,336
255,-255
255,258
255,312
257,341
258,387
260,-260
260,-62
260,261
260,283
260,307
260,318
260,378
260,390
260,415
263,349
265,-265
265,324
265,386
266,266
266,277
266,280
270,-270
270,332
270,405
270,523
271,-271
271,332
271,398
271,407
272,362
279,420
284,-284
284,348
284,369
284,428
291,387
294,-294
294,360
294,453
295,392
302,-302
302,239
302,370
302,454
311,-187
311,367
316,474
356,534
364,546
364,548
