cnt_HR_ok,none_League_nk,none_Team_nk,none_Year_ok
19,AL,Chicago White Sox,1905
19,AL,Detroit Tigers,1901
20,AL,Chicago White Sox,1902
20,AL,Chicago White Sox,1903
20,NL,Chicago Cubs,1905
20,NL,New York Giants,1903
21,AL,Chicago White Sox,1901
21,NL,Cincinnati Reds,1904
21,NL,New York Giants,1905
21,NL,Philadelphia Phillies,1901
23,AL,Baltimore Orioles,1901
23,AL,Chicago White Sox,1907
23,NL,Chicago Cubs,1906
23,NL,Philadelphia Phillies,1915
24,AL,Chicago White Sox,1908
24,AL,Detroit Tigers,1906
24,AL,Detroit Tigers,1907
24,AL,Detroit Tigers,1908
24,NL,Chicago Cubs,1907
24,NL,Cincinnati Reds,1922
24,NL,New York Giants,1904
24,NL,Philadelphia Phillies,1903
24,NL,Philadelphia Phillies,1905
24,NL,Philadelphia Phillies,1906
24,NL,Philadelphia Phillies,1907
24,NL,Philadelphia Phillies,1917
25,AL,Chicago White Sox,1904
25,AL,Chicago White Sox,1906
25,AL,Detroit Tigers,1904
25,AL,Detroit Tigers,1919
25,AL,New York Yankees,1923
25,AL,New York Yankees,1927
25,NL,New York Giants,1906
25,NL,Pittsburgh Pirates,1938
25,NL,St. Louis Cardinals,1901
25,NL,St. Louis Cardinals,1904
26,AL,Boston Red Sox,1942
26,AL,Chicago White Sox,1917
26,AL,Chicago White Sox,1920
26,AL,Detroit Tigers,1903
26,AL,Milwaukee Brewers,1901
26,AL,New York Yankees,1920
26,AL,New York Yankees,1922
26,AL,New York Yankees,1943
26,NL,Chicago Cubs,1908
26,NL,Chicago Cubs,1936
26,NL,Cincinnati Reds,1918
26,NL,Cincinnati Reds,1920
26,NL,Pittsburgh Pirates,1936
26,NL,Pittsburgh Pirates,1937
27,AL,Boston Red Sox,1912
27,AL,Boston Red Sox,1917
27,AL,Boston Red Sox,1921
27,AL,Chicago White Sox,1940
27,AL,Chicago White Sox,1945
27,AL,Cleveland Indians,1933
27,AL,Detroit Tigers,1915
27,AL,Detroit Tigers,1922
27,AL,Detroit Tigers,1928
27,AL,Detroit Tigers,1935
27,AL,Detroit Tigers,1943
27,AL,New York Yankees,1921
27,AL,New York Yankees,1935
27,AL,New York Yankees,1939
27,AL,New York Yankees,1940
27,AL,New York Yankees,1941
27,NL,Chicago Cubs,1903
27,NL,Chicago Cubs,1910
27,NL,Chicago Cubs,1935
27,NL,Chicago Cubs,1937
27,NL,Cincinnati Reds,1905
27,NL,Cincinnati Reds,1919
27,NL,New York Giants,1907
27,NL,Philadelphia Phillies,1908
27,NL,Philadelphia Phillies,1918
27,NL,Pittsburgh Pirates,1901
27,NL,Pittsburgh Pirates,1902
27,NL,Pittsburgh Pirates,1932
27,NL,St. Louis Cardinals,1902
27,NL,St. Louis Cardinals,1944
28,AL,Chicago White Sox,1937
28,AL,Cleveland Indians,1919
28,AL,Cleveland Indians,1926
28,AL,Detroit Tigers,1917
28,AL,Detroit Tigers,1932
28,AL,New York Yankees,1931
28,AL,New York Yankees,1936
28,AL,New York Yankees,1937
28,AL,New York Yankees,1938
28,NL,Chicago Cubs,1904
28,NL,Chicago Cubs,1928
28,NL,Cincinnati Reds,1902
28,NL,Cincinnati Reds,1903
28,NL,Cincinnati Reds,1933
28,NL,New York Giants,1910
28,NL,New York Giants,1911
28,NL,New York Giants,1912
28,NL,New York Giants,1934
28,NL,New York Giants,1935
28,NL,Philadelphia Phillies,1920
28,NL,Philadelphia Phillies,1922
28,NL,Pittsburgh Pirates,1905
28,NL,Pittsburgh Pirates,1925
28,NL,Pittsburgh Pirates,1933
28,NL,St. Louis Cardinals,1915
28,NL,St. Louis Cardinals,1943
29,AL,Boston Red Sox,1913
29,AL,Boston Red Sox,1916
29,AL,Boston Red Sox,1939
29,AL,Chicago White Sox,1943
29,AL,Chicago White Sox,1944
29,AL,Cleveland Indians,1920
29,AL,Cleveland Indians,1929
29,AL,Cleveland Indians,1932
29,AL,Cleveland Indians,1935
29,AL,Cleveland Indians,1937
29,AL,Detroit Tigers,1902
29,AL,Detroit Tigers,1909
29,AL,Detroit Tigers,1910
29,AL,Detroit Tigers,1911
29,AL,Detroit Tigers,1934
29,AL,Detroit Tigers,1936
29,AL,Detroit Tigers,1947
29,AL,New York Yankees,1933
29,NL,Chicago Cubs,1918
29,NL,Chicago Cubs,1919
29,NL,Chicago Cubs,1930
29,NL,Chicago Cubs,1933
29,NL,Chicago Cubs,1934
29,NL,Chicago Cubs,1938
29,NL,Chicago Cubs,1939
29,NL,Chicago Cubs,1940
29,NL,Cincinnati Reds,1915
29,NL,Cincinnati Reds,1917
29,NL,Cincinnati Reds,1923
29,NL,Cincinnati Reds,1927
29,NL,Cincinnati Reds,1928
29,NL,Cincinnati Reds,1932
29,NL,Cincinnati Reds,1975
29,NL,Cincinnati Reds,1976
29,NL,New York Giants,1936
29,NL,New York Giants,1940
29,NL,Philadelphia Phillies,1909
29,NL,Philadelphia Phillies,1916
