none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Product_In_Stock_nk,none_Ship_Mode_nk,sum_Gross_Profit_ok
CENTRAL,FURNITURE,NO,DELIVERY TRUCK,92982.75
CENTRAL,FURNITURE,NO,EXPRESS AIR,-706.5299999999999
CENTRAL,FURNITURE,NO,REGULAR AIR,17483.7
CENTRAL,FURNITURE,YES,DELIVERY TRUCK,457425.43
CENTRAL,FURNITURE,YES,EXPRESS AIR,17693.5
CENTRAL,FURNITURE,YES,REGULAR AIR,76734.14999999997
CENTRAL,OFFICE SUPPLIES,NO,DELIVERY TRUCK,-511.48000000000036
CENTRAL,OFFICE SUPPLIES,NO,EXPRESS AIR,31223.93000000001
CENTRAL,OFFICE SUPPLIES,NO,REGULAR AIR,203696.49999999985
CENTRAL,OFFICE SUPPLIES,YES,DELIVERY TRUCK,74568.45999999999
CENTRAL,OFFICE SUPPLIES,YES,EXPRESS AIR,152942.8999999998
CENTRAL,OFFICE SUPPLIES,YES,REGULAR AIR,747725.9399999992
CENTRAL,TECHNOLOGY,NO,DELIVERY TRUCK,161855.75999999998
CENTRAL,TECHNOLOGY,NO,EXPRESS AIR,64835.48
CENTRAL,TECHNOLOGY,NO,REGULAR AIR,358061.0400000002
CENTRAL,TECHNOLOGY,YES,DELIVERY TRUCK,971769.4300000002
CENTRAL,TECHNOLOGY,YES,EXPRESS AIR,236059.17999999996
CENTRAL,TECHNOLOGY,YES,REGULAR AIR,1643280.9499999993
EAST,FURNITURE,NO,DELIVERY TRUCK,220794.54000000027
EAST,FURNITURE,NO,EXPRESS AIR,8474.359999999999
EAST,FURNITURE,NO,REGULAR AIR,30473.5
EAST,FURNITURE,YES,DELIVERY TRUCK,859106.39
EAST,FURNITURE,YES,EXPRESS AIR,27959.069999999985
EAST,FURNITURE,YES,REGULAR AIR,151743.65000000002
EAST,OFFICE SUPPLIES,NO,DELIVERY TRUCK,41657.90999999999
EAST,OFFICE SUPPLIES,NO,EXPRESS AIR,78066.11000000004
EAST,OFFICE SUPPLIES,NO,REGULAR AIR,437672.6400000003
EAST,OFFICE SUPPLIES,YES,DELIVERY TRUCK,165099.2600000001
EAST,OFFICE SUPPLIES,YES,EXPRESS AIR,246073.45000000036
EAST,OFFICE SUPPLIES,YES,REGULAR AIR,1891355.8399999954
EAST,TECHNOLOGY,NO,DELIVERY TRUCK,374387.55
EAST,TECHNOLOGY,NO,EXPRESS AIR,67849.24000000002
EAST,TECHNOLOGY,NO,REGULAR AIR,863668.9300000002
EAST,TECHNOLOGY,YES,DELIVERY TRUCK,1998117.9599999993
EAST,TECHNOLOGY,YES,EXPRESS AIR,624268.4799999999
EAST,TECHNOLOGY,YES,REGULAR AIR,4488907.3999999855
WEST,FURNITURE,NO,DELIVERY TRUCK,146770.4399999999
WEST,FURNITURE,NO,EXPRESS AIR,-75.2000000000001
WEST,FURNITURE,NO,REGULAR AIR,21070.85999999999
WEST,FURNITURE,YES,DELIVERY TRUCK,449601.22000000015
WEST,FURNITURE,YES,EXPRESS AIR,14262.64
WEST,FURNITURE,YES,REGULAR AIR,100285.89000000001
WEST,OFFICE SUPPLIES,NO,DELIVERY TRUCK,8313.909999999998
WEST,OFFICE SUPPLIES,NO,EXPRESS AIR,50051.09999999999
WEST,OFFICE SUPPLIES,NO,REGULAR AIR,168398.79999999996
WEST,OFFICE SUPPLIES,YES,DELIVERY TRUCK,75333.42
WEST,OFFICE SUPPLIES,YES,EXPRESS AIR,140063.11999999982
WEST,OFFICE SUPPLIES,YES,REGULAR AIR,933165.819999997
WEST,TECHNOLOGY,NO,DELIVERY TRUCK,221617.78999999995
WEST,TECHNOLOGY,NO,EXPRESS AIR,66143.88000000002
WEST,TECHNOLOGY,NO,REGULAR AIR,423972.8900000002
WEST,TECHNOLOGY,YES,DELIVERY TRUCK,1289193.9000000001
WEST,TECHNOLOGY,YES,EXPRESS AIR,312692.8899999999
WEST,TECHNOLOGY,YES,REGULAR AIR,2303379.739999999
