none_Market_Size_nk,none_Product_Type_nk,none_Product_nk,none_State_nk
Major Market,Coffee,Amaretto,California
Major Market,Coffee,Amaretto,Colorado
Major Market,Coffee,Amaretto,Ohio
Major Market,Espresso,Caffe Latte,California
Major Market,Espresso,Caffe Latte,Texas
Major Market,Espresso,Caffe Mocha,California
Major Market,Espresso,Caffe Mocha,Colorado
Major Market,Espresso,Caffe Mocha,Florida
Major Market,Espresso,Caffe Mocha,Illinois
Major Market,Espresso,Caffe Mocha,Massachusetts
Major Market,Espresso,Caffe Mocha,New York
Major Market,Espresso,Caffe Mocha,Ohio
Major Market,Espresso,Caffe Mocha,Texas
Small Market,Coffee,Amaretto,Iowa
Small Market,Coffee,Amaretto,New Hampshire
Small Market,Coffee,Amaretto,Oregon
Small Market,Coffee,Amaretto,Utah
Small Market,Coffee,Amaretto,Wisconsin
Small Market,Espresso,Caffe Latte,Louisiana
Small Market,Espresso,Caffe Latte,Nevada
Small Market,Espresso,Caffe Latte,New Mexico
Small Market,Espresso,Caffe Latte,Oklahoma
Small Market,Espresso,Caffe Latte,Oregon
Small Market,Espresso,Caffe Latte,Utah
Small Market,Espresso,Caffe Latte,Washington
Small Market,Espresso,Caffe Mocha,Connecticut
Small Market,Espresso,Caffe Mocha,Iowa
Small Market,Espresso,Caffe Mocha,Louisiana
Small Market,Espresso,Caffe Mocha,Missouri
Small Market,Espresso,Caffe Mocha,Nevada
Small Market,Espresso,Caffe Mocha,New Hampshire
Small Market,Espresso,Caffe Mocha,New Mexico
Small Market,Espresso,Caffe Mocha,Oklahoma
Small Market,Espresso,Caffe Mocha,Oregon
Small Market,Espresso,Caffe Mocha,Utah
Small Market,Espresso,Caffe Mocha,Washington
Small Market,Espresso,Caffe Mocha,Wisconsin
