none_Order_Date_ok,none_PID_ok,none_Product_Container_nk,"none_Product_Name_nk",sum_Fill_Time_ok
2001-01-01 00:00:00,36571,SMALL BOX,"Logitech Cordless Access Duo",12
2001-01-01 00:00:00,36572,SMALL BOX,"Motorola SB4200 Cable Modem",12
2001-01-01 00:00:00,36573,SMALL BOX,"CF 688",12
2001-01-01 00:00:00,36574,SMALL BOX,"Strathmore #10 Envelopes, Ultimate White",12
2001-01-01 00:00:00,36575,WRAP BAG,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",12
2001-01-01 00:00:00,36576,WRAP BAG,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",12
2001-01-01 00:00:00,36577,JUMBO BOX,"Anderson Hickey Conga Table Tops & Accessories",12
2001-01-02 00:00:00,36580,SMALL BOX,"GBC Binding covers",12
2001-01-02 00:00:00,36581,SMALL BOX,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",12
2001-01-02 00:00:00,36582,JUMBO BOX,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",12
2001-01-02 00:00:00,36583,LARGE BOX,"Carina Media Storage Towers in Natural & Black",12
2001-01-02 00:00:00,36584,SMALL PACK,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",12
2001-01-02 00:00:00,36592,JUMBO BOX,"Bevis 36 x 72 Conference Tables",12
2001-01-02 00:00:00,36593,MEDIUM BOX,"Holmes HEPA Air Purifier",12
2001-01-02 00:00:00,36594,SMALL BOX,"Avery Binder Labels",12
2001-01-02 00:00:00,36595,WRAP BAG,"BIC® Brite Liner Grip??? Highlighters",12
2001-01-02 00:00:00,36596,SMALL BOX,"Xerox 1917",12
2001-01-03 00:00:00,36620,SMALL BOX,"6161i",12
2001-01-03 00:00:00,36621,MEDIUM BOX,"VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine",12
2001-01-03 00:00:00,36622,SMALL BOX,"Belkin F5C206VTEL 6 Outlet Surge",12
2001-01-03 00:00:00,36623,WRAP BAG,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",12
2001-01-03 00:00:00,36624,SMALL BOX,"Xerox 224",12
2001-01-03 00:00:00,36625,SMALL BOX,"Xerox 225",12
2001-01-03 00:00:00,36626,SMALL BOX,"Disposable Triple-Filter Dust Bags",12
2001-01-04 00:00:00,36640,SMALL PACK,"Boston 16701 Slimline Battery Pencil Sharpener",12
2001-01-05 00:00:00,36658,SMALL BOX,"Xerox 1964",12
2001-01-05 00:00:00,36659,SMALL BOX,"Avery 487",12
2001-01-05 00:00:00,36660,SMALL BOX,"VariCap6??? Expandable Binder",12
2001-01-05 00:00:00,36661,SMALL BOX,"KF 788",12
2001-01-05 00:00:00,36662,SMALL PACK,"Executive Impressions 12"" Wall Clock",12
2001-01-06 00:00:00,36663,SMALL PACK,"Boston 19500 Mighty Mite Electric Pencil Sharpener",12
2001-01-06 00:00:00,36664,SMALL PACK,"Sanford 52201 APSCO Electric Pencil Sharpener",12
2001-01-06 00:00:00,36665,JUMBO BOX,"Sauder Camden County Collection Library",12
2001-01-06 00:00:00,36666,JUMBO DRUM,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",12
2001-01-06 00:00:00,36667,SMALL BOX,"Logitech Cordless Keyboard",12
2001-01-06 00:00:00,36668,JUMBO DRUM,"Epson DFX-8500 Dot Matrix Printer",12
2001-01-06 00:00:00,36669,SMALL BOX,"Staples Surge Protector 6 outlet",12
2001-01-07 00:00:00,36705,SMALL PACK,"Ultra Door Pull Handle",12
2001-01-07 00:00:00,36706,SMALL BOX,"Acco 3-Hole Punch",12
2001-01-07 00:00:00,36707,WRAP BAG,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",12
2001-01-07 00:00:00,36708,SMALL BOX,"Microsoft Office Keyboard",12
2001-01-07 00:00:00,36709,SMALL PACK,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",12
