none_Prod_TypeB_nk,sum_Gross_Profit_ok,sum_Sales_Total_ok
FURNITURE,-3974.54,19541.62
FURNITURE,-3784.22,19491.87
FURNITURE,-3697.08,13140.94
FURNITURE,-3635.26,3275.45
FURNITURE,-3620.29,19160.56
FURNITURE,-3579.11,14744.62
FURNITURE,-3495.12,21266.68
FURNITURE,-3424.88,9579.62
FURNITURE,-3423.58,18862.04
FURNITURE,-3319.44,3591.27
FURNITURE,-3226.56,2414.96
FURNITURE,-3218.43,3692.28
FURNITURE,-3184.51,10085.39
FURNITURE,-3041.2,3414.48
FURNITURE,-2909.74,8502.37
FURNITURE,-2908.34,3587.72
FURNITURE,-2891.79,3327.84
FURNITURE,-2877.85,13960.17
FURNITURE,-2815.24,3500.1
FURNITURE,-2738.9,15089.59
FURNITURE,-2599.27,2312.66
FURNITURE,-2546.46,25085.03
FURNITURE,-2544.98,8867.13
FURNITURE,-2507.92,2606
FURNITURE,-2475.13,2638.79
FURNITURE,-2464.49,8682.23
FURNITURE,-2430.19,17874.48
FURNITURE,-2419.76,3721.19
FURNITURE,-2417.65,2419.84
FURNITURE,-2401.95,2711.97
FURNITURE,-2397.87,11963.97
FURNITURE,-2391.81,4010.46
FURNITURE,-2362.65,3043.8
FURNITURE,-2358.43,16955.77
FURNITURE,-2300.46,3971.15
FURNITURE,-2290.18,3135.5
FURNITURE,-2236.24,7848.88
FURNITURE,-2224.42,9389.67
FURNITURE,-2223.72,7330.61
FURNITURE,-2216.45,5360.54
FURNITURE,-2180.57,5718.85
FURNITURE,-2172.03,2146.37
FURNITURE,-2163.32,3988.43
FURNITURE,-2160.05,3599
FURNITURE,-2146.49,3868.56
FURNITURE,-2103.35,4459.91
FURNITURE,-2098.3,4463.57
FURNITURE,-2053.34,13820.07
FURNITURE,-2042.28,3562.65
FURNITURE,-2037.56,2570.44
FURNITURE,-2028.7,2907.63
FURNITURE,-2015.48,2794.98
FURNITURE,-2012.9,4412.26
FURNITURE,-2007.1,2811.7
FURNITURE,-1998.61,2492.3
FURNITURE,-1980.47,4195.79
FURNITURE,-1978.08,3310.84
FURNITURE,-1976.17,5911.28
FURNITURE,-1968.85,2325.03
FURNITURE,-1959.57,2334.31
FURNITURE,-1957.63,3399.37
FURNITURE,-1934.9,3943.44
FURNITURE,-1931.41,9215.31
FURNITURE,-1929.98,2451.53
FURNITURE,-1924.45,1807.33
FURNITURE,-1923.57,7896.16
FURNITURE,-1914.79,7108.74
FURNITURE,-1914.43,9102.48
FURNITURE,-1890.68,5041.46
FURNITURE,-1884.31,19280.23
FURNITURE,-1884.27,2185.61
FURNITURE,-1862.46,5560.62
FURNITURE,-1855.54,6235.86
FURNITURE,-1846.85,2223.03
FURNITURE,-1844.41,2579.27
FURNITURE,-1844.04,4554.75
FURNITURE,-1826.92,2291.7
FURNITURE,-1824.8,2994
FURNITURE,-1821.53,4899.29
FURNITURE,-1818.46,6089.05
FURNITURE,-1814.04,2609.64
FURNITURE,-1813.53,2333.67
FURNITURE,-1809.01,2572.5
FURNITURE,-1806.58,2894.68
FURNITURE,-1801.65,2404.6
FURNITURE,-1784.65,4750.28
FURNITURE,-1777.06,1398.33
FURNITURE,-1773.97,2339.64
FURNITURE,-1756.62,9084.58
FURNITURE,-1753.48,4422.78
FURNITURE,-1753.36,3576.76
FURNITURE,-1752.08,2787.78
FURNITURE,-1750.99,6410.83
FURNITURE,-1748.74,1983.04
FURNITURE,-1748.22,4242.08
FURNITURE,-1743.92,3238.85
FURNITURE,-1731.1,4321.63
FURNITURE,-1731.1,4321.63
FURNITURE,-1724.78,6586.32
FURNITURE,-1721.38,2425.82
FURNITURE,-1719.08,9708.64
FURNITURE,-1716.58,1963.89
FURNITURE,-1714.29,16120.05
FURNITURE,-1700.76,1892.81
FURNITURE,-1694.91,3987.25
FURNITURE,-1694.5,2878.55
FURNITURE,-1693.25,1614.45
FURNITURE,-1692.96,3008.3
FURNITURE,-1689.03,2721.33
FURNITURE,-1686.46,27120.84
FURNITURE,-1683.38,14484.63
FURNITURE,-1681.83,4938.41
FURNITURE,-1680.09,4748.52
FURNITURE,-1675.5,1433.74
FURNITURE,-1674.31,5681.51
FURNITURE,-1672.4,3028.86
FURNITURE,-1669.68,7086.95
FURNITURE,-1665.5,5141.72
FURNITURE,-1658.93,2924.8
FURNITURE,-1655.17,7164.1
FURNITURE,-1636.73,3700.53
FURNITURE,-1635.64,3279.46
FURNITURE,-1630.16,2404.85
FURNITURE,-1627.7,12827.23
FURNITURE,-1621.99,4987.73
FURNITURE,-1618.1,4669.19
FURNITURE,-1617.03,3826.5
FURNITURE,-1616.93,2614.21
FURNITURE,-1612.95,3171.75
FURNITURE,-1611.17,2961.88
FURNITURE,-1611.08,5643.49
FURNITURE,-1607.96,13089.64
FURNITURE,-1606.78,1761.4
FURNITURE,-1606.29,4842.21
FURNITURE,-1605.6,5934.12
FURNITURE,-1595.36,2855.87
FURNITURE,-1593.8,1861.55
FURNITURE,-1592.5,2756.17
FURNITURE,-1590.35,1858.05
FURNITURE,-1590.23,6902.51
FURNITURE,-1578.18,3609.88
FURNITURE,-1575.77,2875.46
FURNITURE,-1572.89,18415.85
FURNITURE,-1571.06,9819.37
FURNITURE,-1567.82,2790.68
FURNITURE,-1563.39,1524.11
FURNITURE,-1563.31,5595.83
FURNITURE,-1560,3355.1
FURNITURE,-1559.4,2219.16
FURNITURE,-1559.22,6673.31
FURNITURE,-1558.36,1950.16
FURNITURE,-1557.29,3853.97
FURNITURE,-1555.26,726.1
FURNITURE,-1553.37,4411.5
FURNITURE,-1548.34,5050.58
FURNITURE,-1547.81,3726.41
FURNITURE,-1545.15,1613.57
FURNITURE,-1544.99,4519.96
FURNITURE,-1541.06,4144.28
FURNITURE,-1536.46,3047.27
FURNITURE,-1535.17,4455.18
FURNITURE,-1529.85,4273.8
FURNITURE,-1528.96,5491.67
FURNITURE,-1528.74,7666.04
FURNITURE,-1528.69,4169.4
FURNITURE,-1526.15,5144.93
FURNITURE,-1524.18,2438.7
FURNITURE,-1524.16,5313.05
FURNITURE,-1518.69,9194.8
FURNITURE,-1518.33,6283.92
FURNITURE,-1518.31,5897.47
FURNITURE,-1514.53,7002.08
FURNITURE,-1512.86,6459.01
FURNITURE,-1512.76,1992.45
FURNITURE,-1509.47,1807.67
FURNITURE,-1507.18,6069.81
FURNITURE,-1505.55,3131.15
FURNITURE,-1496.7,6465.24
FURNITURE,-1495,1822.14
FURNITURE,-1491.89,2034.06
FURNITURE,-1490.83,790.53
FURNITURE,-1490.19,2690.89
FURNITURE,-1488.56,2566.48
FURNITURE,-1487.08,2694
FURNITURE,-1486.41,3428.69
FURNITURE,-1483.05,7898.21
FURNITURE,-1481.53,2084.29
FURNITURE,-1479.34,3832.24
FURNITURE,-1478.16,3554.46
FURNITURE,-1477.14,1840
FURNITURE,-1475.7,6565.38
FURNITURE,-1474.12,2673.08
FURNITURE,-1472.79,6933.57
FURNITURE,-1465.53,3182.46
FURNITURE,-1462.46,2718.62
FURNITURE,-1460.77,1516.16
FURNITURE,-1460.36,10276.27
FURNITURE,-1457.36,2202.3
FURNITURE,-1449.83,4699.33
FURNITURE,-1445.53,5985.61
FURNITURE,-1442.09,9574.82
FURNITURE,-1432.76,1544.17
FURNITURE,-1430.87,2577.54
FURNITURE,-1428.77,3076.74
FURNITURE,-1428.58,3676.63
FURNITURE,-1427.34,3821.36
FURNITURE,-1425.68,6455.28
FURNITURE,-1424.3,3885.33
FURNITURE,-1423.4,3888.18
FURNITURE,-1421.93,4772.06
FURNITURE,-1413.78,1166.23
FURNITURE,-1412.79,6126.93
FURNITURE,-1412.01,10073.7
FURNITURE,-1409.87,2249.79
FURNITURE,-1406.24,6024.9
FURNITURE,-1406.05,1306.26
FURNITURE,-1405.86,2513.9
FURNITURE,-1401.16,5359.51
FURNITURE,-1399.56,1842.76
FURNITURE,-1398.38,4138.03
FURNITURE,-1398.09,4150.69
FURNITURE,-1397.59,5212.13
FURNITURE,-1397.49,3415.22
FURNITURE,-1393.64,5181.08
FURNITURE,-1393.23,705.62
FURNITURE,-1390.75,2766.15
FURNITURE,-1390.67,2851.06
FURNITURE,-1390.46,1416.36
FURNITURE,-1390.45,3577.11
FURNITURE,-1390.27,2660.15
FURNITURE,-1390,1190.01
FURNITURE,-1389.84,2597.39
FURNITURE,-1385.7,1392.77
FURNITURE,-1385.55,1897.85
FURNITURE,-1384.36,2404.74
FURNITURE,-1384.22,1395.45
FURNITURE,-1381.86,1460.99
FURNITURE,-1376.3,3116.47
FURNITURE,-1375.05,4070.73
FURNITURE,-1373.95,7384.18
FURNITURE,-1371.55,10386.53
FURNITURE,-1370.86,4314.48
FURNITURE,-1370.21,3846.5
FURNITURE,-1370.17,4083.12
FURNITURE,-1365.67,3799.62
FURNITURE,-1360.22,2234.02
FURNITURE,-1358,2307.19
FURNITURE,-1354.69,3984.51
FURNITURE,-1351.49,1314.99
FURNITURE,-1350.02,3537.67
FURNITURE,-1344.87,4781.21
FURNITURE,-1344.58,3904.12
FURNITURE,-1342.73,3367.24
FURNITURE,-1339.59,3358.91
FURNITURE,-1338.59,760.26
FURNITURE,-1333.17,3454.77
FURNITURE,-1332.22,3706.53
FURNITURE,-1331.87,4475
FURNITURE,-1320.2,3805.43
FURNITURE,-1317.25,1837.44
FURNITURE,-1309.73,1270.28
FURNITURE,-1309.57,1916.03
FURNITURE,-1304.71,4824.93
FURNITURE,-1303.99,2895.87
FURNITURE,-1303.75,3572.74
FURNITURE,-1301.63,5360.66
FURNITURE,-1297.88,4271.44
FURNITURE,-1296.15,16340.97
FURNITURE,-1293.33,759.89
FURNITURE,-1291.19,16345.93
FURNITURE,-1290.46,3403.5
FURNITURE,-1286.43,1095.11
FURNITURE,-1285.99,1937.67
FURNITURE,-1285.92,5018.85
FURNITURE,-1283.11,3253.16
FURNITURE,-1274.35,2009.05
FURNITURE,-1269.55,4183.74
FURNITURE,-1269.19,3139.72
FURNITURE,-1268.6,693.37
FURNITURE,-1267.69,4722.66
FURNITURE,-1266.87,2932.99
FURNITURE,-1265.89,2318.04
FURNITURE,-1261.37,3346.54
FURNITURE,-1259.22,6045.07
FURNITURE,-1254.35,2966.13
FURNITURE,-1253.85,6177.29
FURNITURE,-1253.56,9112.75
FURNITURE,-1252.92,3504.2
FURNITURE,-1251.79,3873.84
FURNITURE,-1251.76,3262.12
FURNITURE,-1250.9,1640.9
FURNITURE,-1249.39,1264.46
FURNITURE,-1246.47,2867.42
FURNITURE,-1243.24,1157.39
FURNITURE,-1243.04,673.3
FURNITURE,-1241.68,1948.79
FURNITURE,-1240.27,1966.77
FURNITURE,-1239.08,10012.23
FURNITURE,-1237.92,3558.42
FURNITURE,-1237.42,20515.03
FURNITURE,-1233.97,3316.4
FURNITURE,-1230.86,4211
FURNITURE,-1227.18,5211.56
FURNITURE,-1225.62,3161.79
FURNITURE,-1225.35,2762.2
FURNITURE,-1224.82,3732.25
FURNITURE,-1223.09,3486.88
FURNITURE,-1218.88,3351.55
FURNITURE,-1215.67,5232.83
