avg_Price_ok,none_Customer_Segment_nk,none_Prod_TypeC_nk
3.35816425,SMALL BUSINESS,RUBBER BANDS
3.37540000,CONSUMER,RUBBER BANDS
3.42512563,CORPORATE,RUBBER BANDS
3.45894366,HOME OFFICE,RUBBER BANDS
7.06936387,SMALL BUSINESS,LABELS
7.43049751,CONSUMER,LABELS
7.56990157,HOME OFFICE,LABELS
8.22263889,CORPORATE,LABELS
9.72837647,CORPORATE,PENS & ART SUPPLIES
10.01526892,HOME OFFICE,PENS & ART SUPPLIES
10.16642295,CONSUMER,PENS & ART SUPPLIES
10.80024915,SMALL BUSINESS,PENS & ART SUPPLIES
15.36387727,CORPORATE,PAPER
15.70138340,SMALL BUSINESS,PAPER
15.88411089,HOME OFFICE,PAPER
15.89034297,CONSUMER,PAPER
19.91272109,CONSUMER,ENVELOPES
21.72504638,CORPORATE,ENVELOPES
22.28047222,HOME OFFICE,ENVELOPES
26.10774744,SMALL BUSINESS,ENVELOPES
30.76341085,HOME OFFICE,OFFICE FURNISHINGS
30.91947733,CORPORATE,OFFICE FURNISHINGS
31.18572301,SMALL BUSINESS,OFFICE FURNISHINGS
31.23348723,CONSUMER,OFFICE FURNISHINGS
40.90722919,CORPORATE,COMPUTER PERIPHERALS
41.89629349,HOME OFFICE,COMPUTER PERIPHERALS
42.33726984,SMALL BUSINESS,COMPUTER PERIPHERALS
42.61988327,CONSUMER,COMPUTER PERIPHERALS
48.84783390,CONSUMER,BINDERS AND BINDER ACCESSORIES
54.74779255,SMALL BUSINESS,BINDERS AND BINDER ACCESSORIES
58.78662238,HOME OFFICE,BINDERS AND BINDER ACCESSORIES
59.78512329,CORPORATE,SCISSORS\, RULERS AND TRIMMERS
62.31294957,CORPORATE,BINDERS AND BINDER ACCESSORIES
62.86840000,SMALL BUSINESS,SCISSORS\, RULERS AND TRIMMERS
69.11979138,CONSUMER,STORAGE & ORGANIZATION
69.43292390,SMALL BUSINESS,STORAGE & ORGANIZATION
70.36248544,SMALL BUSINESS,APPLIANCES
71.18850829,CORPORATE,STORAGE & ORGANIZATION
72.96099237,HOME OFFICE,STORAGE & ORGANIZATION
73.81155238,CORPORATE,APPLIANCES
73.87075415,HOME OFFICE,APPLIANCES
79.20355401,CONSUMER,APPLIANCES
82.82910891,CONSUMER,SCISSORS\, RULERS AND TRIMMERS
100.51348337,CONSUMER,TELEPHONES AND COMMUNICATION
102.36561943,SMALL BUSINESS,TELEPHONES AND COMMUNICATION
102.37048529,CORPORATE,TELEPHONES AND COMMUNICATION
103.20015625,HOME OFFICE,TELEPHONES AND COMMUNICATION
109.41512456,HOME OFFICE,SCISSORS\, RULERS AND TRIMMERS
158.50216102,CORPORATE,BOOKCASES
164.65635659,SMALL BUSINESS,BOOKCASES
168.68130268,CONSUMER,BOOKCASES
169.62217241,HOME OFFICE,CHAIRS & CHAIRMATS
169.68873112,HOME OFFICE,BOOKCASES
169.89561702,SMALL BUSINESS,CHAIRS & CHAIRMATS
174.76997817,CONSUMER,CHAIRS & CHAIRMATS
179.10787445,CORPORATE,CHAIRS & CHAIRMATS
224.94736726,SMALL BUSINESS,TABLES
229.10877850,HOME OFFICE,TABLES
230.72523269,CORPORATE,TABLES
248.06227557,CONSUMER,TABLES
470.69110559,CORPORATE,OFFICE MACHINES
474.57964467,HOME OFFICE,OFFICE MACHINES
478.41047210,SMALL BUSINESS,OFFICE MACHINES
516.02139293,CONSUMER,OFFICE MACHINES
595.99000000,CONSUMER,COPIERS AND FAX
597.58615385,SMALL BUSINESS,COPIERS AND FAX
696.76419355,HOME OFFICE,COPIERS AND FAX
714.91146597,CORPORATE,COPIERS AND FAX
