none_Order_Date_ok,none_Order_Priority_nk,none_PID_ok,none_Prod_TypeD_nk,sum_Fill_Time_ok
2001-01-07 00:00:00,5-LOW,36705,DOOR ACCESSORIES,12
2001-01-07 00:00:00,5-LOW,36706,BINDER ACCESSORIES,12
2001-01-09 00:00:00,5-LOW,36766,COLORED ENVELOPES,12
2001-01-13 00:00:00,5-LOW,36862,MODEMS,12
2001-01-14 00:00:00,5-LOW,36895,COMPUTER PAPER,12
2001-01-14 00:00:00,5-LOW,36896,COMPUTER PAPER,12
2001-01-15 00:00:00,5-LOW,36940,PAPER CLIPS,12
2001-01-15 00:00:00,5-LOW,36951,ART SUPPLIES,12
2001-01-18 00:00:00,5-LOW,36994,CARDBOARD STORAGE,12
2001-01-18 00:00:00,5-LOW,37002,BINDER ACCESSORIES,12
2001-01-20 00:00:00,5-LOW,37042,PENCIL SHARPENERS,12
2001-01-21 00:00:00,5-LOW,37072,COPY PAPER,12
2001-01-23 00:00:00,5-LOW,37142,STATIONARY,12
2001-01-28 00:00:00,5-LOW,37216,PLASTIC DESK SETS,12
2001-01-29 00:00:00,5-LOW,37281,COMPUTER PAPER,12
2001-02-03 00:00:00,5-LOW,37396,SURGE PROTECTORS,12
2001-02-10 00:00:00,5-LOW,37573,HEAVY DUTY BINDERS,12
2001-02-12 00:00:00,5-LOW,37618,MEDIA,12
2001-02-13 00:00:00,5-LOW,37654,MEDIA,12
2001-02-13 00:00:00,5-LOW,37656,COPY PAPER,12
2001-02-14 00:00:00,5-LOW,37703,MEDIA,12
2001-02-14 00:00:00,5-LOW,37704,ART SUPPLIES,12
2001-02-15 00:00:00,5-LOW,37724,SCISSORS,12
2001-02-16 00:00:00,5-LOW,37789,CARDBOARD STORAGE,12
2001-02-24 00:00:00,5-LOW,37978,KEYBOARDS,12
2001-02-25 00:00:00,5-LOW,38025,WOOD DESK SETS,12
2001-02-28 00:00:00,5-LOW,38101,COPY PAPER,12
2001-02-28 00:00:00,5-LOW,38108,PINS AND TACKS,12
2001-03-04 00:00:00,5-LOW,38212,WIRELESS AND CELLULAR,12
2001-03-16 00:00:00,5-LOW,38501,ROUND RING BINDERS,12
2001-03-19 00:00:00,5-LOW,38562,HANGING BINDERS,12
2001-03-21 00:00:00,5-LOW,38610,BINDING MACHINES,12
2001-03-23 00:00:00,5-LOW,38686,PENCIL SHARPENERS,12
2001-03-23 00:00:00,5-LOW,38700,BUSINESS ENVELOPES,12
2001-03-26 00:00:00,5-LOW,38758,ART SUPPLIES,12
2001-03-27 00:00:00,5-LOW,38779,PLASTIC DESK SETS,12
2001-03-28 00:00:00,5-LOW,38806,FILE LABELS,12
2001-03-29 00:00:00,5-LOW,38821,FILE LABELS,12
2001-03-29 00:00:00,5-LOW,38837,FILE LABELS,12
2001-03-31 00:00:00,5-LOW,38870,KEYBOARDS,12
2001-03-31 00:00:00,5-LOW,38872,LETTER OPENERS,12
2001-04-03 00:00:00,5-LOW,38971,STANDARD LABELS,12
2001-04-05 00:00:00,5-LOW,39041,COPY PAPER,12
2001-04-05 00:00:00,5-LOW,39046,ART SUPPLIES,12
2001-04-07 00:00:00,5-LOW,39096,WIRELESS AND CELLULAR,12
2001-04-08 00:00:00,5-LOW,39111,COLORED ENVELOPES,12
2001-04-12 00:00:00,5-LOW,39222,WRITINGS PADS,12
2001-04-12 00:00:00,5-LOW,39238,COPY PAPER,12
2001-04-17 00:00:00,5-LOW,39368,MEDIA,12
2001-04-24 00:00:00,5-LOW,39536,BUSINESS ENVELOPES,12
2001-04-30 00:00:00,5-LOW,39664,COPY PAPER,12
2001-05-02 00:00:00,5-LOW,39695,KEYBOARDS,12
2001-05-02 00:00:00,5-LOW,39696,HEAVY DUTY BINDERS,12
2001-05-03 00:00:00,5-LOW,39709,PAPER CLIPS,12
2001-05-08 00:00:00,5-LOW,39842,WIRELESS AND CELLULAR,12
2001-05-11 00:00:00,5-LOW,39921,MEDIA,12
2001-05-16 00:00:00,5-LOW,40054,KEYBOARDS,12
2001-05-17 00:00:00,5-LOW,40088,WIRELESS AND CELLULAR,12
2001-05-18 00:00:00,5-LOW,40148,COPY PAPER,12
2001-05-24 00:00:00,5-LOW,40263,CARDBOARD STORAGE,12
2001-05-25 00:00:00,5-LOW,40292,CLOCKS,12
2001-05-26 00:00:00,5-LOW,40346,WIRELESS AND CELLULAR,12
2001-06-06 00:00:00,5-LOW,40604,BINDER ACCESSORIES,12
2001-06-06 00:00:00,5-LOW,40605,MEDIA,12
2001-06-13 00:00:00,5-LOW,40775,FILE LABELS,12
2001-06-13 00:00:00,5-LOW,40777,MODEMS,12
2001-06-19 00:00:00,5-LOW,40924,WIRELESS AND CELLULAR,12
2001-06-19 00:00:00,5-LOW,40929,COPY PAPER,12
2001-06-19 00:00:00,5-LOW,40937,COPY PAPER,12
2001-06-25 00:00:00,5-LOW,41102,HANGING BINDERS,12
2001-07-02 00:00:00,5-LOW,41218,COPY PAPER,12
2001-07-03 00:00:00,5-LOW,41253,PORTABLE STORAGE,12
2001-07-04 00:00:00,5-LOW,41263,PORTABLE STORAGE,12
2001-07-05 00:00:00,5-LOW,41287,SCISSORS,12
2001-07-06 00:00:00,5-LOW,41345,HIGHLIGHTERS,12
2001-07-09 00:00:00,5-LOW,41413,HEAVY DUTY BINDERS,12
2001-07-13 00:00:00,5-LOW,41506,COPY PAPER,12
2001-07-18 00:00:00,5-LOW,41615,LETTER OPENERS,12
