avg_Price_ok,none_Prod_TypeC_nk
3.41208448,RUBBER BANDS
7.67727632,LABELS
10.08963887,PENS & ART SUPPLIES
15.66060063,PAPER
22.36519515,ENVELOPES
30.99300871,OFFICE FURNISHINGS
41.78255892,COMPUTER PERIPHERALS
57.28491249,BINDERS AND BINDER ACCESSORIES
70.86622673,STORAGE & ORGANIZATION
74.29620271,APPLIANCES
78.49527859,"SCISSORS, RULERS AND TRIMMERS"
102.21027439,TELEPHONES AND COMMUNICATION
164.51372920,BOOKCASES
174.21622517,CHAIRS & CHAIRMATS
232.66272053,TABLES
482.51322236,OFFICE MACHINES
661.01941176,COPIERS AND FAX
