avg_App_Ext_Credit_Rating_ok,none_App_Age_ok,none_App_College_nk,none_App_Employ_Status_nk,none_App_Married_Status_nk
423,37,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
583,33,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
632.3000000000001,43,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
655,31,HIGH SCHOOL GRAD,UNEMPLOYED,UNMARRIED
668,42,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
671,54,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
675.1,43,HIGH SCHOOL GRAD,UNEMPLOYED,UNMARRIED
733,54,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
745,31,COLLEGE GRAD,UNEMPLOYED,UNMARRIED
769,36,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
818,30,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
839,39,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
842.95,50,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
851.1600000000001,53,HIGH SCHOOL GRAD,EMPLOYED,MARRIED
876,53,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
882.5,41,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
884,38,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
887.5,35,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
895,47,HIGH SCHOOL GRAD,EMPLOYED,MARRIED
913,37,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
917,38,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
931.3333333333334,32,COLLEGE GRAD,UNEMPLOYED,UNMARRIED
941,30,COLLEGE GRAD,UNEMPLOYED,UNMARRIED
948.5,35,COLLEGE GRAD,UNEMPLOYED,UNMARRIED
966.725,54,HIGH SCHOOL GRAD,EMPLOYED,MARRIED
977,50,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
988.4,55,HIGH SCHOOL GRAD,EMPLOYED,MARRIED
992,45,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
998.275,42,COLLEGE GRAD,EMPLOYED,UNMARRIED
1008.5,49,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
1009.5,52,HIGH SCHOOL GRAD,EMPLOYED,UNMARRIED
1013,30,HIGH SCHOOL GRAD,UNEMPLOYED,UNMARRIED
1031,52,HIGH SCHOOL GRAD,UNEMPLOYED,MARRIED
