none_key_nk,none_strA_nk,none_strB_nk,none_strC_nk,none_strD_nk,none_z_if_cmp_str_str_nk
key00,FURNITURE,CLAMP ON LAMPS,one,e,one
key01,FURNITURE,CLOCKS,two,e,two
key02,OFFICE SUPPLIES,AIR PURIFIERS,three,e,three
key03,OFFICE SUPPLIES,BINDER ACCESSORIES,\N,e,\N
key04,OFFICE SUPPLIES,BINDER CLIPS,five,\N,five
key05,OFFICE SUPPLIES,BINDING MACHINES,six,\N,six
key06,OFFICE SUPPLIES,BINDING SUPPLIES,\N,e,\N
key07,OFFICE SUPPLIES,BUSINESS ENVELOPES,eight,e,eight
key08,TECHNOLOGY,ANSWERING MACHINES,nine,\N,nine
key09,TECHNOLOGY,BUSINESS COPIERS,ten,e,ten
key10,TECHNOLOGY,CD-R MEDIA,eleven,e,eleven
key11,TECHNOLOGY,CONFERENCE PHONES,twelve,\N,twelve
key12,TECHNOLOGY,CORDED KEYBOARDS,\N,\N,\N
key13,TECHNOLOGY,CORDLESS KEYBOARDS,fourteen,\N,fourteen
key14,TECHNOLOGY,DOT MATRIX PRINTERS,fifteen,e,fifteen
key15,TECHNOLOGY,DVD,sixteen,e,sixteen
key16,TECHNOLOGY,ERICSSON,\N,\N,\N
