none_key_nk,none_strA_nk,none_strC_nk,none_strD_nk,none_z_str_gt_str_nk,sum_numD_ok
key00,FURNITURE,one,e,1,-11.52
key01,FURNITURE,two,e,1,-9.31
key02,OFFICE SUPPLIES,three,e,1,-12.17
key03,OFFICE SUPPLIES,\N,e,\N,-7.25
key04,OFFICE SUPPLIES,five,\N,0,12.93
key05,OFFICE SUPPLIES,six,\N,\N,-19.96
key06,OFFICE SUPPLIES,\N,e,\N,10.93
key07,OFFICE SUPPLIES,eight,e,0,3.64
key08,TECHNOLOGY,nine,\N,\N,-13.38
key09,TECHNOLOGY,ten,e,1,-10.56
key10,TECHNOLOGY,eleven,e,1,-4.79
key11,TECHNOLOGY,twelve,\N,\N,-10.81
key12,TECHNOLOGY,\N,\N,\N,-6.62
key13,TECHNOLOGY,fourteen,\N,\N,-18.43
key14,TECHNOLOGY,fifteen,e,0,6.84
key15,TECHNOLOGY,sixteen,e,1,-10.98
key16,TECHNOLOGY,\N,\N,\N,-2.6
