avg_Price_ok,none_Prod_TypeC_nk,sum_Sales_Total_ok
3.41208448,RUBBER BANDS,95324.04000000005
7.67727632,LABELS,400169.20999999973
10.08963887,PENS & ART SUPPLIES,1209942.489999996
15.66060063,PAPER,3098545.7099999944
22.36519515,ENVELOPES,858634.4800000006
30.99300871,OFFICE FURNISHINGS,3999749.9499999997
41.78255892,COMPUTER PERIPHERALS,5278781.720000011
57.28491249,BINDERS AND BINDER ACCESSORIES,5545569.239999975
70.86622673,STORAGE & ORGANIZATION,6486641.480000005
74.29620271,APPLIANCES,5247728.960000006
78.49527859,SCISSORS\, RULERS AND TRIMMERS,1072184.3400000005
102.21027439,TELEPHONES AND COMMUNICATION,13508713.309999982
164.51372920,BOOKCASES,5257672.74
174.21622517,CHAIRS & CHAIRMATS,10497117.220000027
232.66272053,TABLES,14254546.179999996
482.51322236,OFFICE MACHINES,15099693.059999982
661.01941176,COPIERS AND FAX,6776923.250000003
