TEMP_Min_Date__CDCAFAIAEE__A_,none_Date_ok,sum_Sales_ok
1998-01-01 00:00:00,1998-01-01 00:00:00,31555
1998-02-01 00:00:00,1998-02-01 00:00:00,32092
1998-03-01 00:00:00,1998-03-01 00:00:00,32245
1998-04-01 00:00:00,1998-04-01 00:00:00,32943
1998-05-01 00:00:00,1998-05-01 00:00:00,33692
1998-06-01 00:00:00,1998-06-01 00:00:00,35125
1998-07-01 00:00:00,1998-07-01 00:00:00,36161
1998-08-01 00:00:00,1998-08-01 00:00:00,36029
1998-09-01 00:00:00,1998-09-01 00:00:00,33092
1998-10-01 00:00:00,1998-10-01 00:00:00,32849
1998-11-01 00:00:00,1998-11-01 00:00:00,32003
1998-12-01 00:00:00,1998-12-01 00:00:00,33373
1999-01-01 00:00:00,1999-01-01 00:00:00,35308.77275595591
1999-02-01 00:00:00,1999-02-01 00:00:00,34199.670576216486
1999-03-01 00:00:00,1999-03-01 00:00:00,34362.71898697813
1999-04-01 00:00:00,1999-04-01 00:00:00,35106.56075633495
1999-05-01 00:00:00,1999-05-01 00:00:00,33391.41935622941
1999-06-01 00:00:00,1999-06-01 00:00:00,34811.634954516165
1999-07-01 00:00:00,1999-07-01 00:00:00,35838.39235844154
1999-08-01 00:00:00,1999-08-01 00:00:00,35707.569986512804
1999-09-01 00:00:00,1999-09-01 00:00:00,35265.3464635472
1999-10-01 00:00:00,1999-10-01 00:00:00,35006.387222925856
1999-11-01 00:00:00,1999-11-01 00:00:00,34104.82542224409
1999-12-01 00:00:00,1999-12-01 00:00:00,35564.80138788714
