none_Prod_TypeC_nk,sum_Price_ok,sum_Sales_Total_ok
APPLIANCES,208177.9600,5247728.960000006
BINDERS AND BINDER ACCESSORIES,333856.4700,5545569.239999975
BOOKCASES,217487.1500,5257672.74
CHAIRS & CHAIRMATS,420906.4000,10497117.220000027
COMPUTER PERIPHERALS,210960.1400,5278781.720000011
COPIERS AND FAX,359594.5600,6776923.250000003
ENVELOPES,33234.6800,858634.4800000006
LABELS,15531.1300,400169.20999999973
OFFICE FURNISHINGS,160078.8900,3999749.9499999997
OFFICE MACHINES,1130528.4800,15099693.059999982
PAPER,123327.2300,3098545.7099999944
PENS & ART SUPPLIES,46099.5600,1209942.489999996
RUBBER BANDS,3715.7600,95324.04000000005
SCISSORS\, RULERS AND TRIMMERS,80300.6700,1072184.3400000005
STORAGE & ORGANIZATION,258803.4600,6486641.480000005
TABLES,564439.7600,14254546.179999996
TELEPHONES AND COMMUNICATION,536399.5200,13508713.309999982
