none_Market_nk,none_Product_nk,sum_Profit_ok
Central,Amaretto,5104.656463864181
Central,Caffe Mocha,14639.946023917782
Central,Chamomile,14433.952702058012
Central,Columbian,8527.915048177774
Central,Darjeeling,10771.991093882887
Central,Decaf Espresso,8860.205858089568
Central,Decaf Irish Cream,9632.229078672452
Central,Earl Grey,10331.194606803765
Central,Green Tea,1227.1341279078765
Central,Lemon,6250.563416992678
Central,Mint,4069.265589048514
East,Amaretto,1009.4247200898749
East,Caffe Mocha,-6229.911407442493
East,Chamomile,764.664828987568
East,Columbian,27253.125413771148
East,Darjeeling,6496.8884943408175
East,Decaf Espresso,2409.7448212437857
East,Decaf Irish Cream,2726.909698015076
East,Earl Grey,3405.3874343620755
East,Green Tea,5654.363063639101
East,Lemon,7901.122744493032
East,Mint,-2241.8465041582867
East,Regular Espresso,10061.856908634545
South,Caffe Latte,3871.940089538239
South,Caffe Mocha,5200.641751345911
South,Chamomile,3180.1529224370515
South,Columbian,8766.953441668036
South,Decaf Espresso,5930.376765627733
South,Decaf Irish Cream,2933.1748632360695
South,Lemon,2593.4012510316397
West,Amaretto,-1224.7034784346044
West,Caffe Latte,7501.764116054437
West,Caffe Mocha,4064.3899997458334
West,Chamomile,8851.50364032534
West,Columbian,11253.162610567431
West,Darjeeling,11780.183080447698
West,Decaf Espresso,12302.01381584968
West,Decaf Irish Cream,-1304.5037458594684
West,Earl Grey,10425.094043283796
West,Green Tea,-7108.638221140908
West,Lemon,13119.631206439302
West,Mint,4329.950305364881
