none_Market_nk,none_Product_Type_nk,none_State_nk,sum_Sales_ok
East,Coffee,Connecticut,6922.981495964415
East,Coffee,Florida,11973.099042468515
East,Coffee,Massachusetts,13301.741025704356
East,Coffee,New Hampshire,6197.304470914659
East,Coffee,New York,18244.565366908486
East,Espresso,Connecticut,6330.901538273475
East,Espresso,Florida,10785.500219884416
East,Espresso,Massachusetts,10604.31158003096
East,Espresso,New Hampshire,4449.591250765917
East,Espresso,New York,16234.583436783785
East,Herbal Tea,Connecticut,7880.228089835666
East,Herbal Tea,Florida,9610.222590646272
East,Herbal Tea,Massachusetts,2901.964329866859
East,Herbal Tea,New Hampshire,1972.7350893365206
East,Herbal Tea,New York,18996.544251874875
East,Tea,Connecticut,4294.045242358718
East,Tea,Florida,5072.0632836924215
East,Tea,Massachusetts,3160.3264810756036
East,Tea,New Hampshire,2265.460816172392
East,Tea,New York,17380.029082513036
West,Coffee,California,24697.585397408795
West,Coffee,Nevada,3657.618306064782
West,Coffee,Oregon,8712.01691053022
West,Coffee,Utah,10714.794137393581
West,Coffee,Washington,10074.378347367176
West,Espresso,California,34298.89869288266
West,Espresso,Nevada,3518.4205000322186
West,Espresso,Oregon,13805.202135063866
West,Espresso,Utah,8678.58790377009
West,Espresso,Washington,9610.222590646272
West,Herbal Tea,California,22721.70111344805
West,Herbal Tea,Nevada,25749.38616479525
West,Herbal Tea,Oregon,5029.1916543075595
West,Herbal Tea,Utah,9321.48992247404
West,Herbal Tea,Washington,9463.591083413758
West,Tea,California,15172.934333618636
West,Tea,Nevada,27230.19672019223
West,Tea,Oregon,13360.480324297245
West,Tea,Utah,6669.809675835627
West,Tea,Washington,9786.214714400181
