none_Market_Size_nk,none_Product_nk,sum_Profit_ok
Major Market,Amaretto,2014.3565118118795
Major Market,Caffe Latte,5853.084817207918
Major Market,Caffe Mocha,9817.250834152612
Major Market,Chamomile,11400.46259336529
Major Market,Columbian,44131.28299246928
Major Market,Darjeeling,13321.651989616807
Major Market,Decaf Espresso,16864.49669044562
Major Market,Decaf Irish Cream,6981.774574540403
Major Market,Earl Grey,10656.47030114864
Major Market,Green Tea,6790.5999747425185
Major Market,Lemon,15367.822509069167
Major Market,Mint,2256.8410925044664
Major Market,Regular Espresso,10272.036497924106
Small Market,Amaretto,2875.0211937075724
Small Market,Caffe Latte,5520.619388384756
Small Market,Caffe Mocha,7857.815533414422
Small Market,Chamomile,15829.811500442676
Small Market,Columbian,11669.873521715126
Small Market,Darjeeling,15727.410679054592
Small Market,Decaf Espresso,12637.844570365152
Small Market,Decaf Irish Cream,7006.035319523724
Small Market,Earl Grey,13505.205783300999
Small Market,Green Tea,-7017.74100433645
Small Market,Lemon,14496.89610988749
Small Market,Mint,3900.528297750642
Small Market,Regular Espresso,-210.1795892895593
