none_Date_ok,none_Market_nk,sum_Profit_ok,sum_Sales_ok
1998-01-01 00:00:00,Central,2956,10346
1998-01-01 00:00:00,East,1732,6780
1998-01-01 00:00:00,South,997,3976
1998-01-01 00:00:00,West,2356,10453
1998-02-01 00:00:00,Central,3063,10503
1998-02-01 00:00:00,East,1843,6920
1998-02-01 00:00:00,South,1046,4082
1998-02-01 00:00:00,West,2417,10587
1998-03-01 00:00:00,Central,3090,10563
1998-03-01 00:00:00,East,1805,6921
1998-03-01 00:00:00,South,1034,4055
1998-03-01 00:00:00,West,2436,10706
1998-04-01 00:00:00,Central,3172,10770
1998-04-01 00:00:00,East,2031,7213
1998-04-01 00:00:00,South,1040,4065
1998-04-01 00:00:00,West,2427,10895
1998-05-01 00:00:00,Central,3276,11010
1998-05-01 00:00:00,East,2060,7341
1998-05-01 00:00:00,South,1095,4196
1998-05-01 00:00:00,West,2516,11145
1998-06-01 00:00:00,Central,3378,11276
1998-06-01 00:00:00,East,2408,7895
1998-06-01 00:00:00,South,1132,4341
1998-06-01 00:00:00,West,2653,11613
1998-07-01 00:00:00,Central,3523,11592
1998-07-01 00:00:00,East,2427,8048
1998-07-01 00:00:00,South,1171,4448
1998-07-01 00:00:00,West,2784,12073
1998-08-01 00:00:00,Central,3444,11436
1998-08-01 00:00:00,East,2095,7803
1998-08-01 00:00:00,South,1234,4641
1998-08-01 00:00:00,West,2793,12149
1998-09-01 00:00:00,Central,3145,10726
1998-09-01 00:00:00,East,1824,7125
1998-09-01 00:00:00,South,1110,4266
1998-09-01 00:00:00,West,2429,10975
1998-10-01 00:00:00,Central,3109,10581
1998-10-01 00:00:00,East,1957,7101
1998-10-01 00:00:00,South,1130,4280
1998-10-01 00:00:00,West,2478,10887
1998-11-01 00:00:00,Central,2952,10215
1998-11-01 00:00:00,East,1942,6978
1998-11-01 00:00:00,South,1108,4205
1998-11-01 00:00:00,West,2397,10605
1998-12-01 00:00:00,Central,3154,10662
1998-12-01 00:00:00,East,2037,7273
1998-12-01 00:00:00,South,1141,4291
1998-12-01 00:00:00,West,2479,11147
1999-01-01 00:00:00,Central,4606.193351949425,11576.756866839492
1999-01-01 00:00:00,East,2698.892721778214,7586.5466419071845
1999-01-01 00:00:00,South,1553.5773923861886,4448.983694428167
1999-01-01 00:00:00,West,3671.242062649813,11696.485552781094
1999-02-01 00:00:00,Central,4545.644125594781,11192.79384463424
1999-02-01 00:00:00,East,2735.1035336177542,7374.477140328376
1999-02-01 00:00:00,South,1552.3159501704674,4350.088972083876
1999-02-01 00:00:00,West,3586.9480416462907,11282.310619170015
1999-03-01 00:00:00,Central,4585.713466564766,11256.734397874081
1999-03-01 00:00:00,East,2678.709646326667,7375.5428162157095
1999-03-01 00:00:00,South,1534.507354183809,4321.315723125952
1999-03-01 00:00:00,West,3615.144985291834,11409.126049762372
1999-04-01 00:00:00,Central,4707.40553914027,11477.329306551534
1999-04-01 00:00:00,East,3014.104870742083,7686.72017531627
1999-04-01 00:00:00,South,1543.411652177137,4331.972481999258
1999-04-01 00:00:00,West,3601.7885383018397,11610.538792467874
1999-05-01 00:00:00,Central,4521.424435052931,10911.775113145139
1999-05-01 00:00:00,East,2843.1423492701556,7275.507820671975
1999-05-01 00:00:00,South,1511.2819769178734,4158.565701612806
1999-05-01 00:00:00,West,3472.4981314386955,11045.57072079951
1999-06-01 00:00:00,Central,4662.201386327468,11175.402014153004
1999-06-01 00:00:00,East,3323.440183030355,7824.565351342496
1999-06-01 00:00:00,South,1562.348125909618,4302.272095019351
1999-06-01 00:00:00,West,3661.5808993270502,11509.395494001317
1999-07-01 00:00:00,Central,4862.325483727553,11488.58284392175
1999-07-01 00:00:00,East,3349.663340620711,7976.200373350778
1999-07-01 00:00:00,South,1616.1746072792967,4408.317502567627
1999-07-01 00:00:00,West,3842.382670081606,11965.291638601386
1999-08-01 00:00:00,Central,4753.292354799231,11333.974586187807
1999-08-01 00:00:00,East,2891.44816588397,7733.38612242248
1999-08-01 00:00:00,South,1703.1250771841624,4599.595667584613
1999-08-01 00:00:00,West,3854.8041657823032,12040.613610317914
1999-09-01 00:00:00,Central,4667.336198170287,11430.43956750899
1999-09-01 00:00:00,East,2706.9065899722127,7592.940697231169
1999-09-01 00:00:00,South,1647.2951287659832,4546.173335352726
1999-09-01 00:00:00,West,3604.75663763295,11695.79286345433
1999-10-01 00:00:00,Central,4613.910410210308,11275.916563846034
1999-10-01 00:00:00,East,2904.2851954910166,7567.364475935231
1999-10-01 00:00:00,South,1676.9761220770824,4561.0927977753545
1999-10-01 00:00:00,West,3677.475071245141,11602.013385369228
1999-11-01 00:00:00,Central,4380.914612718186,10885.879189083
1999-11-01 00:00:00,East,2882.024450507695,7436.286341793558
1999-11-01 00:00:00,South,1644.3270294348747,4481.167106225552
1999-11-01 00:00:00,West,3557.267048335192,11301.492785141965
1999-12-01 00:00:00,Central,4680.692645160284,11362.236310719818
1999-12-01 00:00:00,East,3023.0091687354143,7750.660728556113
1999-12-01 00:00:00,South,1693.3006683981873,4572.815232535992
1999-12-01 00:00:00,West,3678.959120910697,11879.089116075205
