none_Market_nk,none_Product_Type_nk,none_Product_nk,sum_Sales_ok
Central,Coffee,Amaretto,14011.30478658335
Central,Coffee,Columbian,28913.463580239935
Central,Coffee,Decaf Irish Cream,26154.8975547358
Central,Espresso,Caffe Mocha,35218.01765040174
Central,Espresso,Decaf Espresso,24484.663666035827
Central,Herbal Tea,Chamomile,36569.98554347716
Central,Herbal Tea,Lemon,21978.167587511583
Central,Herbal Tea,Mint,9336.906781895534
Central,Tea,Darjeeling,30288.680049437615
Central,Tea,Earl Grey,32881.181356017914
Central,Tea,Green Tea,5210.55204812842
East,Coffee,Amaretto,2993.1544382462844
East,Coffee,Columbian,47385.516243058446
East,Coffee,Decaf Irish Cream,6261.020720655708
East,Espresso,Caffe Mocha,16646.280196556356
East,Espresso,Decaf Espresso,7722.121478139343
East,Espresso,Regular Espresso,24036.486351042855
East,Herbal Tea,Chamomile,2194.259806279769
East,Herbal Tea,Lemon,27175.693360874313
East,Herbal Tea,Mint,11991.74118440611
East,Tea,Darjeeling,14095.841362003317
East,Tea,Earl Grey,6505.479027448642
East,Tea,Green Tea,11570.60451636021
South,Coffee,Columbian,21663.754866859887
South,Coffee,Decaf Irish Cream,11592.174285828436
South,Espresso,Caffe Latte,15442.26600513052
South,Espresso,Caffe Mocha,14163.498632439068
South,Espresso,Decaf Espresso,15383.6744105821
South,Herbal Tea,Chamomile,11186.216068331982
South,Herbal Tea,Lemon,14496.776041139285
West,Coffee,Amaretto,9264.70701782834
West,Coffee,Columbian,30356.522444951046
West,Coffee,Decaf Irish Cream,18235.163635985155
West,Espresso,Caffe Latte,20457.570167292073
West,Espresso,Caffe Mocha,18876.105812127513
West,Espresso,Decaf Espresso,30577.65584297551
West,Herbal Tea,Chamomile,25631.58862116005
West,Herbal Tea,Lemon,32274.107828100903
West,Herbal Tea,Mint,14379.6634891777
West,Tea,Darjeeling,28769.466272537535
West,Tea,Earl Grey,27386.715719570755
West,Tea,Green Tea,16063.453776235627
