none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Prod_TypeC_nk,none_Ship_Promo_nk,sum_Discount_ok
CENTRAL,FURNITURE,BOOKCASES,FREE SHIPPING,0.51
CENTRAL,FURNITURE,BOOKCASES,REGULAR SHIPPING,13.369999999999989
CENTRAL,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,1.1300000000000001
CENTRAL,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,27.779999999999987
CENTRAL,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,1.4900000000000004
CENTRAL,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,73.51999999999995
CENTRAL,FURNITURE,TABLES,REGULAR SHIPPING,30.20999999999999
CENTRAL,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,7.779999999999993
CENTRAL,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,25.659999999999982
CENTRAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,11.829999999999984
CENTRAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,55.52999999999987
CENTRAL,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,2.85
CENTRAL,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,15.419999999999975
CENTRAL,OFFICE SUPPLIES,LABELS,FREE SHIPPING,8.989999999999995
CENTRAL,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,16.819999999999986
CENTRAL,OFFICE SUPPLIES,PAPER,FREE SHIPPING,3.4499999999999997
CENTRAL,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,88.2600000000002
CENTRAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,0.5
CENTRAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,51.869999999999955
CENTRAL,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,11.869999999999985
CENTRAL,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",FREE SHIPPING,0.6300000000000001
CENTRAL,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR SHIPPING,12.699999999999978
CENTRAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,2.1200000000000006
CENTRAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,40.16999999999995
CENTRAL,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,15.10999999999998
CENTRAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,46.529999999999994
CENTRAL,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,5.169999999999997
CENTRAL,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,1.34
CENTRAL,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,13.459999999999985
CENTRAL,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,13.369999999999987
CENTRAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,38.389999999999965
CENTRAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,17.039999999999978
EAST,FURNITURE,BOOKCASES,FREE SHIPPING,1.5400000000000005
EAST,FURNITURE,BOOKCASES,REGULAR SHIPPING,35.47999999999997
EAST,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,2.1900000000000004
EAST,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,65.39999999999999
EAST,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,3.8900000000000006
EAST,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,169.63000000000085
EAST,FURNITURE,TABLES,REGULAR SHIPPING,74.79000000000002
EAST,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,20.479999999999983
EAST,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,62.00999999999996
