none_ID_ok,none_Organ_nk,none_Species_nk,sum_Length_ok,sum_Width_ok
1,Petal,I. Setosa,14,2
2,Petal,I. Verginica,56,24
3,Petal,I. Versicolor,45,13
4,Sepal,I. Setosa,50,33
5,Sepal,I. Verginica,67,31
6,Sepal,I. Versicolor,57,28
7,Petal,I. Setosa,10,2
8,Petal,I. Verginica,51,23
9,Petal,I. Versicolor,47,16
10,Sepal,I. Setosa,46,36
11,Sepal,I. Verginica,69,31
12,Sepal,I. Versicolor,63,33
13,Petal,I. Setosa,16,2
14,Petal,I. Verginica,52,20
15,Petal,I. Versicolor,47,14
16,Sepal,I. Setosa,48,31
17,Sepal,I. Verginica,65,30
18,Sepal,I. Versicolor,70,32
19,Petal,I. Setosa,14,1
20,Petal,I. Verginica,51,19
21,Petal,I. Versicolor,40,12
22,Sepal,I. Setosa,49,36
23,Sepal,I. Verginica,58,27
24,Sepal,I. Versicolor,58,26
25,Petal,I. Setosa,13,2
26,Petal,I. Verginica,45,17
27,Petal,I. Versicolor,33,10
28,Sepal,I. Setosa,44,32
29,Sepal,I. Verginica,49,25
30,Sepal,I. Versicolor,50,23
31,Petal,I. Setosa,16,2
32,Petal,I. Verginica,50,19
33,Petal,I. Versicolor,41,10
34,Sepal,I. Setosa,51,38
35,Sepal,I. Verginica,63,25
36,Sepal,I. Versicolor,58,27
37,Petal,I. Setosa,16,2
38,Petal,I. Verginica,49,18
39,Petal,I. Versicolor,45,15
40,Sepal,I. Setosa,50,30
41,Sepal,I. Verginica,63,27
42,Sepal,I. Versicolor,60,29
43,Petal,I. Setosa,19,4
44,Petal,I. Verginica,56,21
45,Petal,I. Versicolor,33,10
46,Sepal,I. Setosa,51,38
47,Sepal,I. Verginica,64,28
48,Sepal,I. Versicolor,49,24
49,Petal,I. Setosa,14,2
50,Petal,I. Verginica,51,19
51,Petal,I. Versicolor,39,14
52,Sepal,I. Setosa,49,30
53,Sepal,I. Verginica,58,27
54,Sepal,I. Versicolor,52,27
55,Petal,I. Setosa,14,2
56,Petal,I. Verginica,55,18
57,Petal,I. Versicolor,39,12
58,Sepal,I. Setosa,50,36
59,Sepal,I. Verginica,64,31
60,Sepal,I. Versicolor,58,27
61,Petal,I. Setosa,15,4
62,Petal,I. Verginica,50,15
63,Petal,I. Versicolor,42,15
64,Sepal,I. Setosa,54,34
65,Sepal,I. Verginica,60,22
66,Sepal,I. Versicolor,59,30
67,Petal,I. Setosa,14,2
68,Petal,I. Verginica,57,23
69,Petal,I. Versicolor,44,13
70,Sepal,I. Setosa,55,42
71,Sepal,I. Verginica,69,32
72,Sepal,I. Versicolor,63,23
73,Petal,I. Setosa,14,2
74,Petal,I. Verginica,49,20
75,Petal,I. Versicolor,49,15
76,Sepal,I. Setosa,44,29
77,Sepal,I. Verginica,56,28
78,Sepal,I. Versicolor,63,25
79,Petal,I. Setosa,14,1
80,Petal,I. Verginica,58,18
81,Petal,I. Versicolor,30,11
82,Sepal,I. Setosa,48,30
83,Sepal,I. Verginica,67,25
84,Sepal,I. Versicolor,51,25
85,Petal,I. Setosa,17,3
86,Petal,I. Verginica,54,21
