none_Case_ok,none_Organ_nk,none_Species_nk,sum_Length_ok,sum_Number_of_Records_ok,sum_Width_ok,sum_birst_constant_one_ok,sum_row_ok
1,Petal,I. Setosa,14,1,2,\N,\N
1,Petal,I. Verginica,56,1,24,\N,\N
1,Petal,I. Versicolor,45,1,13,\N,\N
1,Sepal,I. Setosa,50,1,33,\N,\N
1,Sepal,I. Verginica,67,1,31,\N,\N
1,Sepal,I. Versicolor,57,1,28,\N,\N
2,Petal,I. Setosa,10,1,2,\N,\N
2,Petal,I. Verginica,51,1,23,\N,\N
2,Petal,I. Versicolor,47,1,16,\N,\N
2,Sepal,I. Setosa,46,1,36,\N,\N
2,Sepal,I. Verginica,69,1,31,\N,\N
2,Sepal,I. Versicolor,63,1,33,\N,\N
3,Petal,I. Setosa,16,1,2,\N,\N
3,Petal,I. Verginica,52,1,20,\N,\N
3,Petal,I. Versicolor,47,1,14,\N,\N
3,Sepal,I. Setosa,48,1,31,\N,\N
3,Sepal,I. Verginica,65,1,30,\N,\N
3,Sepal,I. Versicolor,70,1,32,\N,\N
4,Petal,I. Setosa,14,1,1,\N,\N
4,Petal,I. Verginica,51,1,19,\N,\N
4,Petal,I. Versicolor,40,1,12,\N,\N
4,Sepal,I. Setosa,49,1,36,\N,\N
4,Sepal,I. Verginica,58,1,27,\N,\N
4,Sepal,I. Versicolor,58,1,26,\N,\N
5,Petal,I. Setosa,13,1,2,\N,\N
5,Petal,I. Verginica,45,1,17,\N,\N
5,Petal,I. Versicolor,33,1,10,\N,\N
5,Sepal,I. Setosa,44,1,32,\N,\N
5,Sepal,I. Verginica,49,1,25,\N,\N
5,Sepal,I. Versicolor,50,1,23,\N,\N
6,Petal,I. Setosa,16,1,2,\N,\N
6,Petal,I. Verginica,50,1,19,\N,\N
6,Petal,I. Versicolor,41,1,10,\N,\N
6,Sepal,I. Setosa,51,1,38,\N,\N
6,Sepal,I. Verginica,63,1,25,\N,\N
6,Sepal,I. Versicolor,58,1,27,\N,\N
7,Petal,I. Setosa,16,1,2,\N,\N
7,Petal,I. Verginica,49,1,18,\N,\N
7,Petal,I. Versicolor,45,1,15,\N,\N
7,Sepal,I. Setosa,50,1,30,\N,\N
7,Sepal,I. Verginica,63,1,27,\N,\N
7,Sepal,I. Versicolor,60,1,29,\N,\N
8,Petal,I. Setosa,19,1,4,\N,\N
8,Petal,I. Verginica,56,1,21,\N,\N
8,Petal,I. Versicolor,33,1,10,\N,\N
8,Sepal,I. Setosa,51,1,38,\N,\N
8,Sepal,I. Verginica,64,1,28,\N,\N
8,Sepal,I. Versicolor,49,1,24,\N,\N
9,Petal,I. Setosa,14,1,2,\N,\N
9,Petal,I. Verginica,51,1,19,\N,\N
9,Petal,I. Versicolor,39,1,14,\N,\N
9,Sepal,I. Setosa,49,1,30,\N,\N
9,Sepal,I. Verginica,58,1,27,\N,\N
9,Sepal,I. Versicolor,52,1,27,\N,\N
10,Petal,I. Setosa,14,1,2,\N,\N
10,Petal,I. Verginica,55,1,18,\N,\N
10,Petal,I. Versicolor,39,1,12,\N,\N
10,Sepal,I. Setosa,50,1,36,\N,\N
10,Sepal,I. Verginica,64,1,31,\N,\N
10,Sepal,I. Versicolor,58,1,27,\N,\N
11,Petal,I. Setosa,15,1,4,\N,\N
11,Petal,I. Verginica,50,1,15,\N,\N
11,Petal,I. Versicolor,42,1,15,\N,\N
