none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Prod_TypeC_nk,none_Ship_Promo_nk,sum_Gross_Profit_ok
CENTRAL,FURNITURE,BOOKCASES,FREE SHIPPING,48090.45
CENTRAL,FURNITURE,BOOKCASES,REGULAR SHIPPING,31169.380000000016
CENTRAL,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,77044.82
CENTRAL,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,276052.47
CENTRAL,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,35112.26
CENTRAL,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,27224.73999999997
CENTRAL,FURNITURE,TABLES,REGULAR SHIPPING,166918.88000000012
CENTRAL,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,184806.12999999998
CENTRAL,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,69879.92999999995
CENTRAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,520612.6200000004
CENTRAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,65149.76000000004
CENTRAL,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,26810.88
CENTRAL,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,46840.610000000044
CENTRAL,OFFICE SUPPLIES,LABELS,FREE SHIPPING,28763.65000000001
CENTRAL,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,6227.560000000003
CENTRAL,OFFICE SUPPLIES,PAPER,FREE SHIPPING,40928.579999999994
CENTRAL,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,97573.40999999993
CENTRAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,7129.3
CENTRAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,27057.34
CENTRAL,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,2464.5699999999993
CENTRAL,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,FREE SHIPPING,20361.230000000003
CENTRAL,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,REGULAR SHIPPING,688.3599999999992
CENTRAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,74554.9
CENTRAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,-10202.579999999994
CENTRAL,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,225370.66000000006
CENTRAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,111156.95999999995
CENTRAL,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,686306.0700000002
CENTRAL,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,53183.119999999995
CENTRAL,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,1212373.669999999
CENTRAL,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,190772.37999999995
CENTRAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,827011.8400000008
CENTRAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,129687.13999999994
EAST,FURNITURE,BOOKCASES,FREE SHIPPING,88819.29000000001
EAST,FURNITURE,BOOKCASES,REGULAR SHIPPING,3399.7900000000127
EAST,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,155981.48
EAST,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,543577.8400000008
EAST,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,55682.33999999999
EAST,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,77754.53000000012
EAST,FURNITURE,TABLES,REGULAR SHIPPING,373336.23999999947
EAST,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,485839.2200000001
EAST,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,230817.5200000001
EAST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,1152020.5499999998
EAST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,139892.7700000003
EAST,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,57796.97999999999
EAST,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,92495.02999999998
EAST,OFFICE SUPPLIES,LABELS,FREE SHIPPING,73335.89999999998
EAST,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,13099.270000000008
EAST,OFFICE SUPPLIES,PAPER,FREE SHIPPING,110144.17999999998
EAST,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,241148.02000000008
EAST,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,29759.91999999999
EAST,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,64523.610000000124
EAST,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,5618.499999999997
EAST,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,FREE SHIPPING,50626.420000000006
EAST,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,REGULAR SHIPPING,-8477.900000000005
EAST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,187605.61999999994
EAST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,-66320.40000000001
EAST,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,522622.46000000054
EAST,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,246616.88999999952
EAST,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,1564406.0999999992
EAST,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,151339.86000000002
EAST,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,2790033.0199999996
EAST,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,598251.3500000003
EAST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,2161892.579999998
EAST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,382037.2999999998
WEST,FURNITURE,BOOKCASES,FREE SHIPPING,38716.39000000001
WEST,FURNITURE,BOOKCASES,REGULAR SHIPPING,-4074.280000000002
WEST,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,93376.65000000001
WEST,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,329884.1200000003
WEST,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,30370.009999999995
WEST,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,39304.769999999924
WEST,FURNITURE,TABLES,REGULAR SHIPPING,204338.1900000004
WEST,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,296298.0399999999
WEST,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,73731.23000000003
WEST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,494400.6500000002
WEST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,66822.86999999995
WEST,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,35639.98
WEST,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,38696.16999999999
WEST,OFFICE SUPPLIES,LABELS,FREE SHIPPING,37973.09999999999
WEST,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,4403.630000000003
WEST,OFFICE SUPPLIES,PAPER,FREE SHIPPING,57715.840000000004
WEST,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,106430.63000000003
WEST,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,7330.870000000001
WEST,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,33472.29999999999
WEST,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,3494.089999999999
WEST,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,FREE SHIPPING,22492.72
WEST,OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,REGULAR SHIPPING,-1756.5299999999995
WEST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,105575.92000000001
WEST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,-7395.33999999998
WEST,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,269947.63999999996
WEST,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,134346.68999999994
WEST,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,925951.65
WEST,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,90921.34000000001
WEST,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,1565336.06
WEST,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,301027.3000000001
WEST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,1158989.26
WEST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,170481.15000000008
