none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Product_Container_nk,none_Ship_Mode_nk,sum_Discount_ok
CENTRAL,FURNITURE,JUMBO BOX,DELIVERY TRUCK,36.60999999999999
CENTRAL,FURNITURE,JUMBO DRUM,DELIVERY TRUCK,31.159999999999986
CENTRAL,FURNITURE,LARGE BOX,EXPRESS AIR,2.3600000000000003
CENTRAL,FURNITURE,LARGE BOX,REGULAR AIR,11.819999999999991
CENTRAL,FURNITURE,MEDIUM BOX,EXPRESS AIR,1.2500000000000004
CENTRAL,FURNITURE,MEDIUM BOX,REGULAR AIR,8.679999999999994
CENTRAL,FURNITURE,SMALL BOX,EXPRESS AIR,3.3200000000000003
CENTRAL,FURNITURE,SMALL BOX,REGULAR AIR,22.859999999999985
CENTRAL,FURNITURE,SMALL PACK,EXPRESS AIR,2.880000000000001
CENTRAL,FURNITURE,SMALL PACK,REGULAR AIR,17.449999999999978
CENTRAL,FURNITURE,WRAP BAG,EXPRESS AIR,1.45
CENTRAL,FURNITURE,WRAP BAG,REGULAR AIR,8.169999999999996
CENTRAL,OFFICE SUPPLIES,JUMBO DRUM,DELIVERY TRUCK,4.429999999999999
CENTRAL,OFFICE SUPPLIES,LARGE BOX,EXPRESS AIR,1.4100000000000006
CENTRAL,OFFICE SUPPLIES,LARGE BOX,REGULAR AIR,10.199999999999983
CENTRAL,OFFICE SUPPLIES,MEDIUM BOX,EXPRESS AIR,1.3700000000000003
CENTRAL,OFFICE SUPPLIES,MEDIUM BOX,REGULAR AIR,7.83
CENTRAL,OFFICE SUPPLIES,SMALL BOX,EXPRESS AIR,31.240000000000016
CENTRAL,OFFICE SUPPLIES,SMALL BOX,REGULAR AIR,206.0900000000016
CENTRAL,OFFICE SUPPLIES,SMALL PACK,EXPRESS AIR,2.89
CENTRAL,OFFICE SUPPLIES,SMALL PACK,REGULAR AIR,16.669999999999977
CENTRAL,OFFICE SUPPLIES,WRAP BAG,EXPRESS AIR,8.119999999999992
CENTRAL,OFFICE SUPPLIES,WRAP BAG,REGULAR AIR,66.19999999999993
CENTRAL,TECHNOLOGY,JUMBO BOX,DELIVERY TRUCK,2.4999999999999996
CENTRAL,TECHNOLOGY,JUMBO DRUM,DELIVERY TRUCK,12.749999999999986
CENTRAL,TECHNOLOGY,LARGE BOX,EXPRESS AIR,0.62
CENTRAL,TECHNOLOGY,LARGE BOX,REGULAR AIR,5.13
CENTRAL,TECHNOLOGY,MEDIUM BOX,EXPRESS AIR,1.870000000000001
CENTRAL,TECHNOLOGY,MEDIUM BOX,REGULAR AIR,10.77999999999999
CENTRAL,TECHNOLOGY,SMALL BOX,EXPRESS AIR,9.899999999999999
CENTRAL,TECHNOLOGY,SMALL BOX,REGULAR AIR,70.48
CENTRAL,TECHNOLOGY,SMALL PACK,EXPRESS AIR,4.509999999999999
CENTRAL,TECHNOLOGY,SMALL PACK,REGULAR AIR,27.539999999999996
CENTRAL,TECHNOLOGY,WRAP BAG,EXPRESS AIR,0.5800000000000001
CENTRAL,TECHNOLOGY,WRAP BAG,REGULAR AIR,3.7499999999999982
EAST,FURNITURE,JUMBO BOX,DELIVERY TRUCK,93.10000000000011
EAST,FURNITURE,JUMBO DRUM,DELIVERY TRUCK,71.86
EAST,FURNITURE,LARGE BOX,EXPRESS AIR,4.13
EAST,FURNITURE,LARGE BOX,REGULAR AIR,34.039999999999985
EAST,FURNITURE,MEDIUM BOX,EXPRESS AIR,4.75
EAST,FURNITURE,MEDIUM BOX,REGULAR AIR,20.439999999999984
EAST,FURNITURE,SMALL BOX,EXPRESS AIR,9.469999999999997
EAST,FURNITURE,SMALL BOX,REGULAR AIR,49.47999999999999
EAST,FURNITURE,SMALL PACK,EXPRESS AIR,7.429999999999997
EAST,FURNITURE,SMALL PACK,REGULAR AIR,37.39999999999998
EAST,FURNITURE,WRAP BAG,EXPRESS AIR,2.8499999999999996
EAST,FURNITURE,WRAP BAG,REGULAR AIR,17.969999999999978
EAST,OFFICE SUPPLIES,JUMBO DRUM,DELIVERY TRUCK,10.029999999999983
EAST,OFFICE SUPPLIES,LARGE BOX,EXPRESS AIR,4.65
EAST,OFFICE SUPPLIES,LARGE BOX,REGULAR AIR,28.379999999999985
EAST,OFFICE SUPPLIES,MEDIUM BOX,EXPRESS AIR,2.96
EAST,OFFICE SUPPLIES,MEDIUM BOX,REGULAR AIR,16.969999999999988
EAST,OFFICE SUPPLIES,SMALL BOX,EXPRESS AIR,76.91000000000007
EAST,OFFICE SUPPLIES,SMALL BOX,REGULAR AIR,488.06999999999795
EAST,OFFICE SUPPLIES,SMALL PACK,EXPRESS AIR,5.339999999999998
EAST,OFFICE SUPPLIES,SMALL PACK,REGULAR AIR,37.99999999999996
EAST,OFFICE SUPPLIES,WRAP BAG,EXPRESS AIR,25.23999999999998
EAST,OFFICE SUPPLIES,WRAP BAG,REGULAR AIR,164.30000000000027
EAST,TECHNOLOGY,JUMBO BOX,DELIVERY TRUCK,7.659999999999996
EAST,TECHNOLOGY,JUMBO DRUM,DELIVERY TRUCK,31.479999999999997
EAST,TECHNOLOGY,LARGE BOX,EXPRESS AIR,1.5300000000000002
EAST,TECHNOLOGY,LARGE BOX,REGULAR AIR,12.509999999999987
EAST,TECHNOLOGY,MEDIUM BOX,EXPRESS AIR,5.290000000000001
EAST,TECHNOLOGY,MEDIUM BOX,REGULAR AIR,27.249999999999975
EAST,TECHNOLOGY,SMALL BOX,EXPRESS AIR,28.859999999999978
EAST,TECHNOLOGY,SMALL BOX,REGULAR AIR,174.51000000000073
EAST,TECHNOLOGY,SMALL PACK,EXPRESS AIR,10.279999999999989
EAST,TECHNOLOGY,SMALL PACK,REGULAR AIR,64.74000000000007
EAST,TECHNOLOGY,WRAP BAG,EXPRESS AIR,1.5200000000000005
EAST,TECHNOLOGY,WRAP BAG,REGULAR AIR,11.599999999999985
WEST,FURNITURE,JUMBO BOX,DELIVERY TRUCK,46.77999999999998
WEST,FURNITURE,JUMBO DRUM,DELIVERY TRUCK,37.34
WEST,FURNITURE,LARGE BOX,EXPRESS AIR,1.8100000000000005
WEST,FURNITURE,LARGE BOX,REGULAR AIR,13.93999999999999
WEST,FURNITURE,MEDIUM BOX,EXPRESS AIR,2.8200000000000007
WEST,FURNITURE,MEDIUM BOX,REGULAR AIR,9.949999999999989
WEST,FURNITURE,SMALL BOX,EXPRESS AIR,5.239999999999998
WEST,FURNITURE,SMALL BOX,REGULAR AIR,27.69999999999999
WEST,FURNITURE,SMALL PACK,EXPRESS AIR,3.69
WEST,FURNITURE,SMALL PACK,REGULAR AIR,26.46999999999998
WEST,FURNITURE,WRAP BAG,EXPRESS AIR,1.5100000000000002
WEST,FURNITURE,WRAP BAG,REGULAR AIR,10.999999999999991
WEST,OFFICE SUPPLIES,JUMBO DRUM,DELIVERY TRUCK,7.02
WEST,OFFICE SUPPLIES,LARGE BOX,EXPRESS AIR,3.9100000000000006
WEST,OFFICE SUPPLIES,LARGE BOX,REGULAR AIR,15.339999999999975
WEST,OFFICE SUPPLIES,MEDIUM BOX,EXPRESS AIR,1.8500000000000003
WEST,OFFICE SUPPLIES,MEDIUM BOX,REGULAR AIR,11.279999999999998
WEST,OFFICE SUPPLIES,SMALL BOX,EXPRESS AIR,41.87999999999995
WEST,OFFICE SUPPLIES,SMALL BOX,REGULAR AIR,251.5100000000027
WEST,OFFICE SUPPLIES,SMALL PACK,EXPRESS AIR,3.4099999999999997
WEST,OFFICE SUPPLIES,SMALL PACK,REGULAR AIR,19.05999999999996
WEST,OFFICE SUPPLIES,WRAP BAG,EXPRESS AIR,14.219999999999988
WEST,OFFICE SUPPLIES,WRAP BAG,REGULAR AIR,83.02999999999992
WEST,TECHNOLOGY,JUMBO BOX,DELIVERY TRUCK,3.3299999999999996
WEST,TECHNOLOGY,JUMBO DRUM,DELIVERY TRUCK,18.24999999999998
WEST,TECHNOLOGY,LARGE BOX,EXPRESS AIR,0.67
WEST,TECHNOLOGY,LARGE BOX,REGULAR AIR,7.909999999999997
WEST,TECHNOLOGY,MEDIUM BOX,EXPRESS AIR,1.6200000000000003
WEST,TECHNOLOGY,MEDIUM BOX,REGULAR AIR,11.939999999999987
WEST,TECHNOLOGY,SMALL BOX,EXPRESS AIR,15.479999999999972
WEST,TECHNOLOGY,SMALL BOX,REGULAR AIR,92.01999999999998
WEST,TECHNOLOGY,SMALL PACK,EXPRESS AIR,5.97
WEST,TECHNOLOGY,SMALL PACK,REGULAR AIR,36.55999999999998
WEST,TECHNOLOGY,WRAP BAG,EXPRESS AIR,1.03
WEST,TECHNOLOGY,WRAP BAG,REGULAR AIR,5.639999999999999
