sum_Gross_Profit_ok,sum_Sales_Total_ok
-3974.54,19541.62
-3784.22,19491.87
-3697.08,13140.94
-3635.26,3275.45
-3620.29,19160.56
-3579.11,14744.62
-3495.12,21266.68
-3424.88,9579.62
-3423.58,18862.04
-3319.44,3591.27
-3226.56,2414.96
-3218.43,3692.28
-3184.51,10085.39
-3041.2,3414.48
-2909.74,8502.37
-2908.34,3587.72
-2891.79,3327.84
-2877.85,13960.17
-2815.24,3500.1
-2738.9,15089.59
-2599.27,2312.66
-2544.98,8867.13
-2507.92,2606
-2475.13,2638.79
-2464.49,8682.23
-2430.19,17874.48
-2419.76,3721.19
-2417.65,2419.84
-2401.95,2711.97
-2397.87,11963.97
-2391.81,4010.46
-2362.65,3043.8
-2358.43,16955.77
-2343.58,209.08
-2300.46,3971.15
-2290.18,3135.5
-2277.31,1053.62
-2275.79,1055.14
-2268.76,263.95
-2268.65,264.06
-2241.54,197.82
-2236.24,7848.88
-2226.16,224.39
-2224.42,9389.67
-2223.72,7330.61
-2216.45,5360.54
-2207.95,439.72
-2195.88,451.79
-2192.9,454.77
-2180.57,5718.85
-2175.09,947.66
-2172.14,257.2
-2172.03,2146.37
-2163.32,3988.43
-2160.28,893.07
-2160.05,3599
-2149.8,187.92
-2146.49,3868.56
-2141.32,236.33
-2111.36,941.99
-2103.35,4459.91
-2103.05,950.3
-2098.3,4463.57
-2088.68,237.28
-2075.44,250.52
-2053.34,13820.07
-2042.28,3562.65
-2037.56,2570.44
-2028.7,2907.63
-2021.81,1031.54
-2015.48,2794.98
-2012.9,4412.26
-2007.1,2811.7
-1998.61,2492.3
-1995.53,919.03
-1987.49,235.09
-1980.47,4195.79
-1978.08,3310.84
-1976.17,5911.28
-1968.85,2325.03
-1959.57,2334.31
-1957.63,3399.37
-1955.01,179.43
-1939.23,384.23
-1934.9,3943.44
-1931.86,239.04
-1931.41,9215.31
-1929.98,2451.53
-1924.45,1807.33
-1923.57,7896.16
-1914.79,7108.74
-1914.43,9102.48
-1900.36,218.85
-1890.68,5041.46
-1884.31,19280.23
-1884.27,2185.61
-1875.38,394.05
-1862.46,5560.62
-1855.54,6235.86
-1854.09,1442.54
-1846.85,2223.03
-1845.66,221.86
-1844.41,2579.27
-1844.04,4554.75
-1826.92,2291.7
-1824.8,2994
-1821.53,4899.29
-1818.46,6089.05
-1814.04,2609.64
-1813.53,2333.67
-1809.01,2572.5
-1806.58,2894.68
-1805.46,831.53
-1801.65,2404.6
-1798.42,192.65
-1795.74,220.09
-1793.23,222.6
-1784.65,4750.28
-1777.06,1398.33
-1773.97,2339.64
-1765.95,198.19
-1764.43,894.27
-1756.62,9084.58
-1755.8,208.34
-1753.48,4422.78
-1753.36,3576.76
-1753.29,1543.34
-1752.08,2787.78
-1750.99,6410.83
-1748.74,1983.04
-1748.22,4242.08
-1744.38,1417.7
-1743.92,3238.85
-1731.1,4321.63
-1731.1,4321.63
-1724.78,6586.32
-1721.38,2425.82
-1719.08,9708.64
-1716.58,1963.89
-1715.2,1059.09
-1714.29,16120.05
-1700.76,1892.81
-1694.91,3987.25
-1694.5,2878.55
-1693.25,1614.45
-1692.96,3008.3
-1689.03,2721.33
-1687.51,741.29
-1683.38,14484.63
-1681.83,4938.41
-1680.09,4748.52
-1675.5,1433.74
-1674.31,5681.51
-1672.4,3028.86
-1669.68,7086.95
-1665.5,5141.72
-1658.93,2924.8
-1655.17,7164.1
-1642.65,218.12
-1637.52,1078.98
-1636.73,3700.53
-1635.64,3279.46
-1633.22,1624.68
-1630.16,2404.85
-1627.7,12827.23
-1621.99,4987.73
-1618.1,4669.19
-1617.03,3826.5
-1616.93,2614.21
-1612.95,3171.75
-1611.17,2961.88
-1611.08,5643.49
-1608.36,876.95
-1607.96,13089.64
-1606.78,1761.4
-1606.29,4842.21
-1605.73,203.35
-1605.6,5934.12
-1599.39,1226.29
-1596.95,130.93
-1595.36,2855.87
-1593.8,1861.55
-1592.5,2756.17
-1590.35,1858.05
-1590.23,6902.51
-1581.65,154.16
-1578.18,3609.88
-1575.77,2875.46
-1572.89,18415.85
-1571.06,9819.37
-1567.82,2790.68
-1563.9,171.91
-1563.39,1524.11
-1563.31,5595.83
-1560,3355.1
-1559.4,2219.16
-1559.22,6673.31
-1558.36,1950.16
-1557.29,3853.97
-1555.26,726.1
-1554.18,1338.78
-1553.37,4411.5
-1548.34,5050.58
-1547.81,3726.41
-1545.15,1613.57
-1544.99,4519.96
-1541.06,4144.28
-1538.77,138.29
-1536.46,3047.27
-1536.42,1885.4
-1535.17,4455.18
-1533.15,687.47
-1532.06,2748.61
-1529.85,4273.8
-1529.19,1598.39
-1528.96,5491.67
-1528.74,7666.04
-1528.69,4169.4
-1528.23,1664.51
-1526.15,5144.93
-1524.18,2438.7
-1524.16,5313.05
-1518.69,9194.8
-1518.41,771.61
-1518.33,6283.92
-1518.31,5897.47
-1516.57,160.49
-1514.53,7002.08
-1512.86,6459.01
-1512.76,1992.45
-1509.47,1807.67
-1507.18,6069.81
-1507.13,1750.77
-1505.55,3131.15
-1501.64,335.52
-1500.77,1526.75
-1496.7,6465.24
-1495.23,990.08
-1495.23,1465.01
-1495,1822.14
-1491.89,2034.06
-1490.83,790.53
-1490.29,1513.84
-1490.19,2690.89
-1488.56,2566.48
-1487.08,2694
-1486.41,3428.69
-1483.05,7898.21
-1481.53,2084.29
-1481.22,152.48
-1479.34,3832.24
-1478.16,3554.46
-1477.14,1840
-1475.7,6565.38
-1474.12,2673.08
-1472.79,6933.57
-1472.41,2307.36
-1465.53,3182.46
-1465.01,1293.4
-1464.37,1159.48
-1462.46,2718.62
-1460.77,1516.16
-1460.36,10276.27
-1458.07,1233.06
-1457.36,2202.3
-1455.83,1548.3
-1449.83,4699.33
-1448.63,999.39
-1445.53,5985.61
-1442.09,9574.82
-1432.76,1544.17
-1431.21,144.21
-1430.87,2577.54
-1428.77,3076.74
-1428.58,3676.63
-1427.41,1635.02
-1427.34,3821.36
-1426.8,969.14
-1425.68,6455.28
-1424.51,1132.06
-1424.3,3885.33
-1423.4,3888.18
-1422.59,728.64
-1422.35,306.74
-1421.93,4772.06
-1413.78,1166.23
-1412.79,6126.93
-1412.01,10073.7
-1410.62,2150.36
-1409.87,2249.79
-1409.38,2614.45
-1408.66,1080.63
-1406.24,6024.9
-1406.05,1306.26
-1405.86,2513.9
-1401.16,5359.51
-1400.08,1665.36
-1399.56,1842.76
-1398.38,4138.03
-1398.09,4150.69
-1397.59,5212.13
-1397.49,3415.22
-1393.64,5181.08
-1393.23,705.62
-1390.75,2766.15
-1390.67,2851.06
-1390.46,1416.36
-1390.45,3577.11
-1390.27,2660.15
-1390,1190.01
-1389.84,2597.39
-1385.7,1392.77
-1385.55,1897.85
-1384.36,2404.74
-1384.22,1395.45
-1382.71,148.89
-1382.54,857.14
-1382.48,1308.65
