none_Order_Priority_nk,none_PID_ok,none_Prod_TypeC_nk,none_Ship_Date_ok,sum_Fill_Time_ok
1-URGENT,54355,OFFICE FURNISHINGS,2002-12-16 00:00:00,3
1-URGENT,54356,TELEPHONES AND COMMUNICATION,2002-12-15 00:00:00,2
1-URGENT,54383,LABELS,2002-12-15 00:00:00,2
1-URGENT,54384,APPLIANCES,2002-12-15 00:00:00,2
1-URGENT,54387,CHAIRS & CHAIRMATS,2002-12-15 00:00:00,2
1-URGENT,54413,BINDERS AND BINDER ACCESSORIES,2002-12-16 00:00:00,2
1-URGENT,54414,BINDERS AND BINDER ACCESSORIES,2002-12-15 00:00:00,1
1-URGENT,54466,PAPER,2002-12-17 00:00:00,1
1-URGENT,54467,PAPER,2002-12-16 00:00:00,0
1-URGENT,54468,CHAIRS & CHAIRMATS,2002-12-17 00:00:00,1
1-URGENT,54469,OFFICE FURNISHINGS,2002-12-18 00:00:00,2
1-URGENT,54470,BINDERS AND BINDER ACCESSORIES,2002-12-16 00:00:00,0
1-URGENT,54471,TABLES,2002-12-17 00:00:00,1
1-URGENT,54472,TABLES,2002-12-18 00:00:00,2
1-URGENT,54474,LABELS,2002-12-17 00:00:00,0
1-URGENT,54475,PENS & ART SUPPLIES,2002-12-17 00:00:00,0
1-URGENT,54476,PENS & ART SUPPLIES,2002-12-19 00:00:00,2
1-URGENT,54477,OFFICE MACHINES,2002-12-19 00:00:00,2
1-URGENT,54478,TABLES,2002-12-19 00:00:00,2
1-URGENT,54504,BINDERS AND BINDER ACCESSORIES,2002-12-20 00:00:00,2
1-URGENT,54505,PAPER,2002-12-19 00:00:00,1
1-URGENT,54506,STORAGE & ORGANIZATION,2002-12-19 00:00:00,1
1-URGENT,54507,CHAIRS & CHAIRMATS,2002-12-18 00:00:00,0
1-URGENT,54508,CHAIRS & CHAIRMATS,2002-12-20 00:00:00,2
1-URGENT,54509,COMPUTER PERIPHERALS,2002-12-20 00:00:00,2
1-URGENT,54510,TELEPHONES AND COMMUNICATION,2002-12-19 00:00:00,1
1-URGENT,54563,COMPUTER PERIPHERALS,2002-12-23 00:00:00,3
1-URGENT,54564,LABELS,2002-12-21 00:00:00,1
1-URGENT,54583,COMPUTER PERIPHERALS,2002-12-22 00:00:00,1
1-URGENT,54584,TELEPHONES AND COMMUNICATION,2002-12-22 00:00:00,1
1-URGENT,54585,TELEPHONES AND COMMUNICATION,2002-12-22 00:00:00,1
1-URGENT,54586,BINDERS AND BINDER ACCESSORIES,2002-12-22 00:00:00,1
1-URGENT,54587,PENS & ART SUPPLIES,2002-12-22 00:00:00,1
1-URGENT,54588,CHAIRS & CHAIRMATS,2002-12-22 00:00:00,1
1-URGENT,54601,STORAGE & ORGANIZATION,2002-12-23 00:00:00,1
1-URGENT,54602,RUBBER BANDS,2002-12-22 00:00:00,0
1-URGENT,54603,LABELS,2002-12-24 00:00:00,2
1-URGENT,54604,PAPER,2002-12-22 00:00:00,0
1-URGENT,54605,ENVELOPES,2002-12-23 00:00:00,1
1-URGENT,54606,APPLIANCES,2002-12-22 00:00:00,0
1-URGENT,54607,BINDERS AND BINDER ACCESSORIES,2002-12-23 00:00:00,1
1-URGENT,54642,TELEPHONES AND COMMUNICATION,2002-12-25 00:00:00,2
1-URGENT,54643,PAPER,2002-12-25 00:00:00,2
1-URGENT,54644,STORAGE & ORGANIZATION,2002-12-23 00:00:00,0
1-URGENT,54645,OFFICE FURNISHINGS,2002-12-25 00:00:00,2
1-URGENT,54646,TABLES,2002-12-25 00:00:00,2
1-URGENT,54647,BOOKCASES,2002-12-24 00:00:00,1
1-URGENT,54648,PAPER,2002-12-25 00:00:00,2
1-URGENT,54659,OFFICE FURNISHINGS,2002-12-25 00:00:00,1
1-URGENT,54660,APPLIANCES,2002-12-26 00:00:00,2
1-URGENT,54661,BINDERS AND BINDER ACCESSORIES,2002-12-25 00:00:00,1
1-URGENT,54662,ENVELOPES,2002-12-27 00:00:00,3
1-URGENT,54663,PAPER,2002-12-26 00:00:00,2
1-URGENT,54664,PENS & ART SUPPLIES,2002-12-25 00:00:00,1
1-URGENT,54665,OFFICE MACHINES,2002-12-24 00:00:00,0
1-URGENT,54675,STORAGE & ORGANIZATION,2002-12-26 00:00:00,2
1-URGENT,54676,STORAGE & ORGANIZATION,2002-12-26 00:00:00,2
1-URGENT,54677,BINDERS AND BINDER ACCESSORIES,2002-12-24 00:00:00,0
1-URGENT,54678,PENS & ART SUPPLIES,2002-12-24 00:00:00,0
1-URGENT,54694,OFFICE MACHINES,2002-12-27 00:00:00,2
1-URGENT,54695,PAPER,2002-12-26 00:00:00,1
1-URGENT,54696,CHAIRS & CHAIRMATS,2002-12-28 00:00:00,3
1-URGENT,54697,ENVELOPES,2002-12-26 00:00:00,1
1-URGENT,54698,PAPER,2002-12-27 00:00:00,2
1-URGENT,54699,LABELS,2002-12-26 00:00:00,1
1-URGENT,54717,PAPER,2002-12-27 00:00:00,1
1-URGENT,54718,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,2
