none_Prod_TypeB_nk,none_Prod_TypeC_nk,sum_Gross_Profit_ok
FURNITURE,BOOKCASES,126861.18999999987
FURNITURE,CHAIRS & CHAIRMATS,1122820.09
FURNITURE,TABLES,577674.4299999984
OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,1853136.8399999985
OFFICE SUPPLIES,ENVELOPES,224628.1599999997
OFFICE SUPPLIES,LABELS,128811.89999999998
OFFICE SUPPLIES,PAPER,515438.6699999996
OFFICE SUPPLIES,PENS & ART SUPPLIES,135086.7000000001
OFFICE SUPPLIES,RUBBER BANDS,9112.589999999997
OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",62884.70999999994
OFFICE SUPPLIES,STORAGE & ORGANIZATION,219465.80000000042
TECHNOLOGY,COMPUTER PERIPHERALS,1173533.6799999995
TECHNOLOGY,COPIERS AND FAX,2732618.9500000007
TECHNOLOGY,OFFICE MACHINES,5254647.730000007
TECHNOLOGY,TELEPHONES AND COMMUNICATION,3873400.289999996
