none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Product_In_Stock_nk,none_Ship_Mode_nk,none_Ship_Promo_nk,sum_Gross_Profit_ok
CENTRAL,FURNITURE,NO,DELIVERY TRUCK,FREE SHIPPING,18200.42
CENTRAL,FURNITURE,NO,DELIVERY TRUCK,REGULAR SHIPPING,74782.33000000002
CENTRAL,FURNITURE,NO,EXPRESS AIR,REGULAR SHIPPING,-706.5299999999999
CENTRAL,FURNITURE,NO,REGULAR AIR,FREE SHIPPING,12456.48
CENTRAL,FURNITURE,NO,REGULAR AIR,REGULAR SHIPPING,5027.220000000001
CENTRAL,FURNITURE,YES,DELIVERY TRUCK,FREE SHIPPING,91087.52999999998
CENTRAL,FURNITURE,YES,DELIVERY TRUCK,REGULAR SHIPPING,366337.89999999973
CENTRAL,FURNITURE,YES,EXPRESS AIR,FREE SHIPPING,7101.09
CENTRAL,FURNITURE,YES,EXPRESS AIR,REGULAR SHIPPING,10592.409999999998
CENTRAL,FURNITURE,YES,REGULAR AIR,FREE SHIPPING,31402.010000000006
CENTRAL,FURNITURE,YES,REGULAR AIR,REGULAR SHIPPING,45332.140000000014
CENTRAL,OFFICE SUPPLIES,NO,DELIVERY TRUCK,REGULAR SHIPPING,-511.48000000000036
CENTRAL,OFFICE SUPPLIES,NO,EXPRESS AIR,FREE SHIPPING,24968.640000000003
CENTRAL,OFFICE SUPPLIES,NO,EXPRESS AIR,REGULAR SHIPPING,6255.2900000000045
CENTRAL,OFFICE SUPPLIES,NO,REGULAR AIR,FREE SHIPPING,145809.29
CENTRAL,OFFICE SUPPLIES,NO,REGULAR AIR,REGULAR SHIPPING,57887.209999999934
CENTRAL,OFFICE SUPPLIES,YES,DELIVERY TRUCK,REGULAR SHIPPING,74568.45999999999
CENTRAL,OFFICE SUPPLIES,YES,EXPRESS AIR,FREE SHIPPING,129425.93000000005
CENTRAL,OFFICE SUPPLIES,YES,EXPRESS AIR,REGULAR SHIPPING,23516.97000000003
CENTRAL,OFFICE SUPPLIES,YES,REGULAR AIR,FREE SHIPPING,603763.4299999996
CENTRAL,OFFICE SUPPLIES,YES,REGULAR AIR,REGULAR SHIPPING,143962.5100000002
CENTRAL,TECHNOLOGY,NO,DELIVERY TRUCK,FREE SHIPPING,130289.09999999999
CENTRAL,TECHNOLOGY,NO,DELIVERY TRUCK,REGULAR SHIPPING,31566.66
CENTRAL,TECHNOLOGY,NO,EXPRESS AIR,FREE SHIPPING,61344.53
CENTRAL,TECHNOLOGY,NO,EXPRESS AIR,REGULAR SHIPPING,3490.9500000000003
CENTRAL,TECHNOLOGY,NO,REGULAR AIR,FREE SHIPPING,308944.38
CENTRAL,TECHNOLOGY,NO,REGULAR AIR,REGULAR SHIPPING,49116.66000000001
CENTRAL,TECHNOLOGY,YES,DELIVERY TRUCK,FREE SHIPPING,812877.1300000004
CENTRAL,TECHNOLOGY,YES,DELIVERY TRUCK,REGULAR SHIPPING,158892.3
CENTRAL,TECHNOLOGY,YES,EXPRESS AIR,FREE SHIPPING,200815.75999999998
CENTRAL,TECHNOLOGY,YES,EXPRESS AIR,REGULAR SHIPPING,35243.420000000006
CENTRAL,TECHNOLOGY,YES,REGULAR AIR,FREE SHIPPING,1436791.3399999996
CENTRAL,TECHNOLOGY,YES,REGULAR AIR,REGULAR SHIPPING,206489.61
EAST,FURNITURE,NO,DELIVERY TRUCK,FREE SHIPPING,42628.63
EAST,FURNITURE,NO,DELIVERY TRUCK,REGULAR SHIPPING,178165.91000000024
EAST,FURNITURE,NO,EXPRESS AIR,FREE SHIPPING,263.75
EAST,FURNITURE,NO,EXPRESS AIR,REGULAR SHIPPING,8210.609999999999
EAST,FURNITURE,NO,REGULAR AIR,FREE SHIPPING,8742.280000000002
EAST,FURNITURE,NO,REGULAR AIR,REGULAR SHIPPING,21731.219999999994
EAST,FURNITURE,YES,DELIVERY TRUCK,FREE SHIPPING,181588.17000000007
EAST,FURNITURE,YES,DELIVERY TRUCK,REGULAR SHIPPING,677518.2199999987
EAST,FURNITURE,YES,EXPRESS AIR,FREE SHIPPING,7165.64
EAST,FURNITURE,YES,EXPRESS AIR,REGULAR SHIPPING,20793.42999999999
EAST,FURNITURE,YES,REGULAR AIR,FREE SHIPPING,60094.63999999999
EAST,FURNITURE,YES,REGULAR AIR,REGULAR SHIPPING,91649.00999999997
EAST,OFFICE SUPPLIES,NO,DELIVERY TRUCK,REGULAR SHIPPING,41657.90999999999
EAST,OFFICE SUPPLIES,NO,EXPRESS AIR,FREE SHIPPING,55983.04000000001
EAST,OFFICE SUPPLIES,NO,EXPRESS AIR,REGULAR SHIPPING,22083.069999999992
EAST,OFFICE SUPPLIES,NO,REGULAR AIR,FREE SHIPPING,367708.83999999997
EAST,OFFICE SUPPLIES,NO,REGULAR AIR,REGULAR SHIPPING,69963.7999999998
EAST,OFFICE SUPPLIES,YES,DELIVERY TRUCK,REGULAR SHIPPING,165099.2600000001
EAST,OFFICE SUPPLIES,YES,EXPRESS AIR,FREE SHIPPING,190754.27999999997
EAST,OFFICE SUPPLIES,YES,EXPRESS AIR,REGULAR SHIPPING,55319.16999999998
EAST,OFFICE SUPPLIES,YES,REGULAR AIR,FREE SHIPPING,1532682.6300000004
EAST,OFFICE SUPPLIES,YES,REGULAR AIR,REGULAR SHIPPING,358673.20999999746
EAST,TECHNOLOGY,NO,DELIVERY TRUCK,FREE SHIPPING,264914.73
EAST,TECHNOLOGY,NO,DELIVERY TRUCK,REGULAR SHIPPING,109472.81999999999
EAST,TECHNOLOGY,NO,EXPRESS AIR,FREE SHIPPING,56204.63000000002
EAST,TECHNOLOGY,NO,EXPRESS AIR,REGULAR SHIPPING,11644.61
EAST,TECHNOLOGY,NO,REGULAR AIR,FREE SHIPPING,730798.3500000007
EAST,TECHNOLOGY,NO,REGULAR AIR,REGULAR SHIPPING,132870.58
EAST,TECHNOLOGY,YES,DELIVERY TRUCK,FREE SHIPPING,1541397.4099999995
EAST,TECHNOLOGY,YES,DELIVERY TRUCK,REGULAR SHIPPING,456720.55000000016
EAST,TECHNOLOGY,YES,EXPRESS AIR,FREE SHIPPING,488473.1800000001
EAST,TECHNOLOGY,YES,EXPRESS AIR,REGULAR SHIPPING,135795.29999999993
EAST,TECHNOLOGY,YES,REGULAR AIR,FREE SHIPPING,3957165.8599999975
EAST,TECHNOLOGY,YES,REGULAR AIR,REGULAR SHIPPING,531741.5399999991
WEST,FURNITURE,NO,DELIVERY TRUCK,FREE SHIPPING,23080.39
WEST,FURNITURE,NO,DELIVERY TRUCK,REGULAR SHIPPING,123690.04999999997
WEST,FURNITURE,NO,EXPRESS AIR,REGULAR SHIPPING,-75.2000000000001
WEST,FURNITURE,NO,REGULAR AIR,FREE SHIPPING,3592.2799999999997
WEST,FURNITURE,NO,REGULAR AIR,REGULAR SHIPPING,17478.57999999999
WEST,FURNITURE,YES,DELIVERY TRUCK,FREE SHIPPING,86947.7
WEST,FURNITURE,YES,DELIVERY TRUCK,REGULAR SHIPPING,362653.5200000004
WEST,FURNITURE,YES,EXPRESS AIR,FREE SHIPPING,1604.28
WEST,FURNITURE,YES,EXPRESS AIR,REGULAR SHIPPING,12658.36
WEST,FURNITURE,YES,REGULAR AIR,FREE SHIPPING,47238.399999999994
WEST,FURNITURE,YES,REGULAR AIR,REGULAR SHIPPING,53047.489999999954
WEST,OFFICE SUPPLIES,NO,DELIVERY TRUCK,REGULAR SHIPPING,8313.909999999998
WEST,OFFICE SUPPLIES,NO,EXPRESS AIR,FREE SHIPPING,55565.25
WEST,OFFICE SUPPLIES,NO,EXPRESS AIR,REGULAR SHIPPING,-5514.149999999999
WEST,OFFICE SUPPLIES,NO,REGULAR AIR,FREE SHIPPING,143276.79
WEST,OFFICE SUPPLIES,NO,REGULAR AIR,REGULAR SHIPPING,25122.010000000002
WEST,OFFICE SUPPLIES,YES,DELIVERY TRUCK,REGULAR SHIPPING,75333.42
WEST,OFFICE SUPPLIES,YES,EXPRESS AIR,FREE SHIPPING,96003.55000000002
WEST,OFFICE SUPPLIES,YES,EXPRESS AIR,REGULAR SHIPPING,44059.56999999994
WEST,OFFICE SUPPLIES,YES,REGULAR AIR,FREE SHIPPING,762581.5300000003
WEST,OFFICE SUPPLIES,YES,REGULAR AIR,REGULAR SHIPPING,170584.29000000053
WEST,TECHNOLOGY,NO,DELIVERY TRUCK,FREE SHIPPING,168784.25
WEST,TECHNOLOGY,NO,DELIVERY TRUCK,REGULAR SHIPPING,52833.54
WEST,TECHNOLOGY,NO,EXPRESS AIR,FREE SHIPPING,58317.73000000002
WEST,TECHNOLOGY,NO,EXPRESS AIR,REGULAR SHIPPING,7826.149999999999
WEST,TECHNOLOGY,NO,REGULAR AIR,FREE SHIPPING,378887.9
WEST,TECHNOLOGY,NO,REGULAR AIR,REGULAR SHIPPING,45084.99000000002
WEST,TECHNOLOGY,YES,DELIVERY TRUCK,FREE SHIPPING,1027281.4200000007
WEST,TECHNOLOGY,YES,DELIVERY TRUCK,REGULAR SHIPPING,261912.47999999986
WEST,TECHNOLOGY,YES,EXPRESS AIR,FREE SHIPPING,267548.6800000001
WEST,TECHNOLOGY,YES,EXPRESS AIR,REGULAR SHIPPING,45144.21000000001
WEST,TECHNOLOGY,YES,REGULAR AIR,FREE SHIPPING,2019404.6300000004
WEST,TECHNOLOGY,YES,REGULAR AIR,REGULAR SHIPPING,283975.1099999998
