State__bin_,none_State_nk,sum_Sales_ok
California,California,96891.11953735811
California,Colorado,48183.92440159309
California,Connecticut,25428.156366432275
Florida,Florida,37440.88513669163
Illinois,Illinois,69881.96252920326
Iowa,Iowa,54743.70900438084
Louisiana,Louisiana,23162.92701779556
Massachusetts,Massachusetts,29968.34341667778
Missouri,Missouri,24645.155901140002
Nevada,Nevada,60155.62169108446
New Hampshire,New Hampshire,14885.091627189488
New Hampshire,New Mexico,15893.139969627098
New Hampshire,New York,70855.72213808016
Ohio,Ohio,34522.42218605426
Oklahoma,Oklahoma,27462.182903680885
Oregon,Oregon,40906.89102419887
Texas,Texas,37410.11041920771
Utah,Utah,35384.681639473354
Washington,Washington,38934.40673582738
Wisconsin,Wisconsin,33070.64658209342
