none_Market_nk,none_State_nk,sum_Profit_ok
Central,Colorado,17741.84805237649
Central,Illinois,30822.351803232104
Central,Iowa,22210.807914562603
Central,Missouri,3603.9367886951027
Central,Ohio,10768.248096747458
Central,Wisconsin,8701.861353801745
East,Connecticut,7619.930259312133
East,Florida,12308.931431896486
East,Massachusetts,16442.498123137386
East,New Hampshire,2745.9829281956945
East,New York,20094.387473434545
South,Louisiana,7356.649428383699
South,New Mexico,797.7130925962947
South,Oklahoma,8559.014767373468
South,Texas,15763.26379653121
West,California,31786.60260164303
West,Nevada,10616.359905737188
West,Oregon,12438.083009727794
West,Utah,7747.554935522973
West,Washington,11401.246920012458
