none_datetimeA_ok,none_key_nk,sum_z_datetime_minus_date_ok
2004-07-04 22:49:28,key08,20040704222924
2004-07-05 13:14:20,key03,20040705129416
2004-07-09 10:17:35,key00,20040709099731
2004-07-12 17:30:16,key07,20040712171012
2004-07-14 07:43:00,key15,20040714072296
2004-07-14 08:16:44,key10,20040714079640
2004-07-17 14:01:56,key12,20040717138152
2004-07-19 22:21:31,key13,20040719220127
2004-07-22 00:30:23,key05,20040722001019
2004-07-23 21:13:37,key09,20040723209333
2004-07-25 15:22:26,key11,20040725150222
2004-07-26 12:30:34,key01,20040726121030
2004-07-28 06:54:50,key06,20040728063446
2004-07-28 12:34:28,key16,20040728121424
2004-07-28 23:30:22,key04,20040728231018
2004-07-31 11:57:52,key14,20040731113748
2004-08-02 07:59:23,key02,20040802073919
