none_State_nk,sum_Profit_ok,sum_Sales_ok
California,31786.60260164303,96891.11953735811
Colorado,17741.84805237649,48183.92440159309
Connecticut,7619.930259312133,25428.156366432275
Florida,12308.931431896486,37440.88513669163
Illinois,30822.351803232104,69881.96252920326
Iowa,22210.807914562603,54743.70900438084
Louisiana,7356.649428383699,23162.92701779556
Massachusetts,16442.498123137386,29968.34341667778
Missouri,3603.9367886951027,24645.155901140002
Nevada,10616.359905737188,60155.62169108446
New Hampshire,2745.9829281956945,14885.091627189488
New Mexico,797.7130925962947,15893.139969627098
New York,20094.387473434545,70855.72213808016
Ohio,10768.248096747458,34522.42218605426
Oklahoma,8559.014767373468,27462.182903680885
Oregon,12438.083009727794,40906.89102419887
Texas,15763.26379653121,37410.11041920771
Utah,7747.554935522973,35384.681639473354
Washington,11401.246920012458,38934.40673582738
Wisconsin,8701.861353801745,33070.64658209342
